Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AWP-Wildfire,$385.60,$336.54,$245.00,$219.45,$128.00,$110.00,$181.26,$144.84,$135.75,$105.01,$236.03,$230.00,$105.77,$104.45,$63.21,$63.09,$67.44,$58.44,$57.43,$57.06,Covert
FAMAS-Commemoration,$79.00,$80.33,$38.56,$38.56,$32.52,$30.00,$41.57,$25.65,$51.15,$35.14,$35.05,$33.59,$11.98,$12.08,$8.12,$8.28,$8.25,$7.95,$8.36,$7.19,Covert
MP9-Hydra,$105.00,$107.07,$28.03,$26.87,$16.17,$14.96,$14.95,$14.78,$15.27,$14.50,$30.89,$26.52,$12.08,$11.63,$5.57,$5.58,$5.34,$4.88,$4.60,$4.69,Classified
AUG-Death-by-Puppy,$16.90,$7.82,$5.70,$5.31,$34.19,$31.48,$15.56,$14.27,$14.97,$14.39,$14.91,$11.26,$16.90,$15.65,$7.82,$6.79,$5.70,$5.65,$5.31,$4.83,Classified
P90-Nostalgia,$46.64,$59.01,$15.19,$15.43,$10.50,$9.66,$10.32,$6.90,$9.71,$8.75,$16.37,$16.65,$7.74,$7.65,$5.56,$5.50,$5.80,$5.17,$4.57,$4.31,Classified
MP5-SD-Agent,$19.82,$17.27,$4.23,$2.94,$1.75,$1.69,$1.43,$1.12,$1.26,$1.07,$4.40,$4.38,$1.66,$1.50,$0.73,$0.68,$0.60,$0.57,$0.55,$0.54,Restricted
UMP-45-Plastique,$7.50,$7.45,$4.03,$3.45,$1.79,$1.53,$1.77,$1.28,$1.49,$1.49,$4.90,$3.45,$1.56,$1.45,$0.80,$0.69,$0.74,$0.69,$0.57,$0.55,Restricted
P250-Inferno,$6.00,$6.04,$3.52,$3.33,$1.64,$1.53,$2.24,$2.01,$1.44,$1.46,$4.18,$4.06,$1.47,$1.38,$0.63,$0.68,$0.82,$0.82,$0.62,$0.59,Restricted
Five-SeveN-Buddy,$6.13,$6.21,$3.77,$3.82,$1.76,$1.69,$1.79,$1.84,$1.51,$1.46,$2.71,$2.72,$1.47,$1.36,$0.74,$0.73,$0.73,$0.69,$0.72,$0.70,Restricted
M249-Aztec,$5.55,$4.42,$2.87,$3.01,$1.43,$1.41,$1.44,$1.46,$1.03,$1.02,$2.58,$2.34,$1.31,$1.10,$0.66,$0.67,$0.76,$0.78,$0.57,$0.44,Restricted
Glock-18-Sacrifice,$7.10,$6.25,$1.45,$1.41,$0.62,$0.59,$0.55,$0.59,$0.40,$0.45,$1.77,$1.63,$0.37,$0.38,$0.46,$0.42,$0.30,$0.33,$0.23,$0.22,Mil-Spec
FAMAS-Decommissioned,$3.80,$3.50,$0.85,$0.86,$0.50,$0.50,$0.35,$0.31,$0.30,$0.29,$0.88,$0.87,$0.36,$0.45,$0.41,$0.41,$0.30,$0.32,$0.24,$0.23,Mil-Spec
Tec-9-Flash-Out,$1.79,$1.69,$0.82,$0.82,$0.30,$0.31,$0.57,$0.56,$0.28,$0.26,$0.42,$0.40,$0.35,$0.35,$0.40,$0.37,$0.28,$0.30,$0.40,$0.23,Mil-Spec
Dual-Berettas-Elite-16,$1.88,$1.81,$0.64,$0.58,$0.29,$0.29,$0.58,$0.41,$0.30,$0.27,$0.55,$0.54,$0.34,$0.29,$0.37,$0.42,$0.26,$0.24,$0.25,$0.22,Mil-Spec
MAC-10-Classic-Crate,$2.01,$2.01,$0.46,$0.39,$0.24,$0.22,$0.21,$0.20,$0.21,$0.21,$0.50,$0.53,$0.42,$0.37,$0.42,$0.43,$0.26,$0.23,$0.23,$0.20,Mil-Spec
MAG-7-Popdog,$1.44,$1.41,$0.40,$0.41,$0.20,$0.20,$0.29,$0.28,$0.19,$0.19,$0.66,$0.58,$0.34,$0.36,$0.57,$0.61,$0.25,$0.20,$0.20,$0.26,Mil-Spec
SCAR-20-Assault,$0.92,$0.97,$0.48,$0.52,$0.23,$0.23,$0.36,$0.35,$0.21,$0.15,$0.39,$0.42,$0.28,$0.33,$0.40,$0.42,$0.26,$0.23,$0.26,$0.23,Mil-Spec
