Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Neo-Noir,$180.98,$173.50,$58.16,$58.16,$26.76,$28.00,$22.51,$23.14,$21.89,$21.17,$112.70,$105.22,$22.40,$22.61,$10.00,$10.00,$9.45,$8.63,$7.40,$6.92,Covert
MP7-Bloodsport,$36.96,$30.02,$19.00,$16.10,$6.39,$6.25,$15.38,$10.29,$6.18,$5.79,$11.11,$11.58,$3.68,$3.70,$2.22,$2.22,$3.87,$3.37,$2.19,$2.24,Covert
USP-S-Cortex,$49.87,$43.25,$19.57,$16.47,$8.20,$8.38,$8.10,$7.93,$8.05,$7.85,$23.34,$21.21,$5.86,$6.08,$3.15,$3.31,$3.01,$2.80,$2.54,$2.39,Classified
AWP-Mortis,$28.26,$28.72,$10.44,$11.12,$7.37,$7.19,$10.83,$10.68,$8.47,$8.22,$23.36,$19.05,$5.00,$4.90,$3.01,$2.99,$4.00,$3.96,$3.04,$2.95,Classified
AUG-Stymphalian,$21.73,$23.39,$6.78,$7.31,$3.23,$3.17,$3.74,$3.73,$2.85,$2.86,$11.59,$11.68,$4.48,$4.45,$1.77,$1.90,$1.80,$1.93,$1.86,$1.68,Classified
Glock-18-Moonrise,$7.39,$7.79,$3.98,$3.55,$1.75,$1.65,$2.49,$2.61,$1.56,$1.45,$2.55,$2.57,$1.29,$1.27,$0.78,$0.73,$0.92,$0.94,$0.65,$0.63,Restricted
MAG-7-SWAG-7,$9.27,$7.26,$2.07,$2.00,$0.80,$0.79,$0.77,$0.69,$0.75,$0.75,$2.56,$2.32,$0.81,$0.89,$0.36,$0.36,$0.31,$0.31,$0.31,$0.33,Restricted
UMP-45-Arctic-Wolf,$6.50,$5.80,$2.55,$2.54,$0.86,$0.86,$0.86,$0.85,$0.58,$0.55,$2.64,$2.50,$1.12,$1.11,$0.43,$0.40,$0.38,$0.40,$0.31,$0.33,Restricted
Negev-Lionfish,$7.10,$6.50,$1.86,$1.86,$0.85,$0.84,$0.89,$0.86,$0.69,$0.74,$1.87,$1.84,$0.95,$0.91,$0.36,$0.39,$0.42,$0.40,$0.39,$0.35,Restricted
Nova-Wild-Six,$5.23,$5.33,$1.80,$1.72,$0.78,$0.78,$0.94,$0.83,$0.75,$0.75,$2.24,$1.66,$0.86,$0.82,$0.34,$0.34,$0.38,$0.39,$0.31,$0.28,Restricted
Five-SeveN-Flame-Test,$1.72,$1.67,$0.69,$0.65,$0.26,$0.26,$0.55,$0.48,$0.21,$0.23,$0.46,$0.42,$0.16,$0.16,$0.11,$0.11,$0.11,$0.09,$0.09,$0.06,Mil-Spec
R8-Revolver-Grip,$1.88,$1.65,$0.40,$0.36,$0.19,$0.19,$0.18,$0.16,$0.15,$0.14,$0.41,$0.43,$0.14,$0.13,$0.14,$0.13,$0.08,$0.05,$0.07,$0.05,Mil-Spec
XM1014-Oxide-Blaze,$1.03,$1.01,$0.37,$0.38,$0.15,$0.13,$0.29,$0.28,$0.14,$0.11,$0.35,$0.35,$0.14,$0.12,$0.10,$0.12,$0.10,$0.07,$0.07,$0.05,Mil-Spec
MP9-Black-Sand,$1.30,$1.25,$0.28,$0.29,$0.13,$0.13,$0.12,$0.10,$0.12,$0.11,$0.36,$0.37,$0.13,$0.12,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,Mil-Spec
P2000-Urban-Hazard,$1.24,$1.28,$0.29,$0.28,$0.14,$0.13,$0.13,$0.11,$0.12,$0.10,$0.36,$0.36,$0.13,$0.13,$0.13,$0.12,$0.08,$0.07,$0.07,$0.04,Mil-Spec
SG-553-Aloha,$0.86,$0.99,$0.40,$0.40,$0.15,$0.14,$0.25,$0.24,$0.13,$0.15,$0.37,$0.35,$0.16,$0.15,$0.16,$0.14,$0.10,$0.08,$0.07,$0.05,Mil-Spec
PP-Bizon-Night-Riot,$0.94,$0.93,$0.32,$0.31,$0.14,$0.12,$0.17,$0.15,$0.13,$0.11,$0.36,$0.30,$0.13,$0.13,$0.12,$0.12,$0.10,$0.09,$0.07,$0.05,Mil-Spec
