Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Asiimov,$666.02,$575.53,$184.00,$189.56,$90.01,$88.06,$108.19,$114.98,$87.67,$87.50,$400.00,$387.99,$74.80,$73.79,$41.57,$39.74,$49.17,$46.75,$37.00,$36.40,Covert
AWP-Neo-Noir,$119.98,$107.61,$79.47,$78.89,$64.64,$62.75,$68.55,$69.12,$71.21,$57.55,$61.79,$58.33,$36.75,$35.03,$30.01,$28.34,$30.37,$27.33,$26.14,$25.18,Covert
Desert-Eagle-Mecha-Industries,$39.05,$38.20,$20.58,$21.63,$16.29,$15.57,$18.12,$15.01,$15.88,$14.91,$23.00,$23.03,$9.59,$9.22,$6.17,$6.31,$6.61,$6.72,$5.93,$5.89,Classified
MP5-SD-Phosphor,$38.95,$37.02,$15.31,$15.94,$9.80,$9.79,$11.36,$7.91,$8.48,$7.50,$19.49,$15.01,$7.20,$6.86,$4.21,$4.23,$4.20,$5.37,$4.57,$4.25,Classified
UMP-45-Momentum,$29.41,$23.36,$14.27,$14.00,$8.33,$8.38,$8.76,$7.50,$8.18,$8.00,$16.91,$17.42,$6.98,$6.64,$4.51,$4.24,$4.50,$3.50,$4.69,$4.13,Classified
P250-Nevermore,$3.00,$1.44,$1.07,$1.44,$5.84,$5.71,$3.29,$2.97,$2.07,$2.09,$3.13,$2.77,$3.00,$2.80,$1.44,$1.41,$1.07,$1.07,$1.44,$1.50,Restricted
MAC-10-Pipe-Down,$11.35,$9.80,$2.70,$2.95,$1.19,$1.14,$1.07,$0.92,$1.00,$1.05,$3.22,$3.17,$1.16,$1.24,$0.55,$0.53,$0.49,$0.50,$0.46,$0.49,Restricted
USP-S-Flashback,$5.03,$5.01,$2.64,$2.50,$1.68,$1.63,$2.22,$2.45,$3.57,$3.52,$2.22,$2.22,$1.06,$1.15,$0.69,$0.68,$0.70,$0.74,$0.82,$0.79,Restricted
Galil-AR-Signal,$5.32,$5.07,$3.00,$3.07,$1.68,$1.60,$2.01,$1.91,$1.66,$1.66,$2.42,$2.43,$1.29,$1.27,$0.66,$0.70,$0.72,$0.72,$0.65,$0.65,Restricted
G3SG1-Scavenger,$4.02,$3.92,$2.07,$2.35,$1.20,$1.15,$1.27,$0.98,$1.63,$1.28,$2.39,$2.39,$1.06,$1.06,$0.55,$0.52,$0.59,$0.54,$1.01,$0.69,Restricted
M4A4-Magnesium,$16.19,$16.33,$4.03,$3.93,$1.58,$1.44,$0.78,$0.79,$0.73,$0.77,$6.38,$6.38,$1.03,$1.02,$0.42,$0.44,$0.17,$0.17,$0.14,$0.14,Mil-Spec
Tec-9-Fubar,$0.95,$0.23,$0.16,$0.14,$3.61,$3.37,$0.24,$0.23,$0.18,$0.18,$0.16,$0.15,$0.95,$0.91,$0.23,$0.26,$0.16,$0.16,$0.14,$0.13,Mil-Spec
Glock-18-Oxide-Blaze,$2.50,$2.45,$0.64,$0.71,$0.38,$0.41,$0.60,$0.58,$0.36,$0.35,$0.74,$0.71,$0.26,$0.22,$0.23,$0.22,$0.23,$0.21,$0.15,$0.14,Mil-Spec
MP9-Modest-Threat,$1.38,$1.30,$0.50,$0.49,$0.23,$0.20,$0.42,$0.41,$0.21,$0.20,$0.35,$0.38,$0.20,$0.20,$0.23,$0.22,$0.17,$0.15,$0.13,$0.13,Mil-Spec
SG-553-Danger-Close,$1.42,$1.28,$0.42,$0.42,$0.19,$0.18,$0.37,$0.38,$0.17,$0.16,$0.40,$0.52,$0.19,$0.18,$0.23,$0.21,$0.17,$0.15,$0.14,$0.15,Mil-Spec
Sawed-Off-Black-Sand,$1.09,$1.01,$0.43,$0.44,$0.19,$0.19,$0.16,$0.15,$0.17,$0.16,$0.40,$0.39,$0.24,$0.21,$0.21,$0.22,$0.15,$0.13,$0.13,$0.15,Mil-Spec
Nova-Wood-Fired,$1.00,$1.00,$0.43,$0.43,$0.20,$0.20,$0.29,$0.25,$0.18,$0.19,$0.35,$0.40,$0.20,$0.20,$0.19,$0.21,$0.17,$0.16,$0.14,$0.11,Mil-Spec
