Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Vaporwave,$490.75,$489.00,$258.75,$264.00,$138.60,$134.37,$140.22,$117.95,$121.99,$120.02,$287.16,$277.09,$159.45,$156.98,$77.85,$78.20,$73.80,$73.79,$58.30,$56.81,Covert
Glock-18-Gold-Toof,$251.56,$219.45,$105.04,$84.49,$42.28,$39.00,$57.24,$57.25,$40.65,$38.84,$75.33,$76.00,$25.77,$25.62,$9.34,$9.00,$11.70,$11.47,$8.35,$8.48,Covert
AK-47-The-Outsiders,$130.00,$141.95,$44.89,$44.95,$21.65,$21.27,$17.18,$16.84,$16.81,$16.39,$64.41,$60.05,$17.78,$17.09,$8.63,$8.08,$6.79,$7.19,$4.98,$4.97,Covert
UMP-45-Neo-Noir,$70.05,$70.00,$28.21,$24.98,$11.67,$11.67,$7.50,$7.45,$7.63,$6.94,$28.02,$28.05,$13.84,$13.12,$6.72,$6.44,$4.60,$4.75,$4.19,$4.26,Classified
P250-Epicenter,$41.72,$38.76,$24.50,$22.01,$12.35,$11.75,$11.68,$10.52,$10.23,$9.45,$20.16,$20.09,$13.62,$12.90,$6.75,$6.45,$6.32,$5.49,$4.69,$4.81,Classified
M4A4-Turbine,$24.31,$24.18,$7.89,$7.85,$2.58,$2.52,$2.73,$3.06,$2.08,$1.73,$10.15,$10.22,$2.80,$2.80,$0.88,$0.88,$1.10,$0.99,$0.74,$0.71,Classified
SSG-08-Rapid-Transit,$23.03,$23.01,$9.10,$9.26,$2.57,$2.42,$3.70,$3.86,$1.86,$1.67,$6.12,$5.98,$2.93,$2.93,$0.92,$0.93,$1.21,$1.21,$0.64,$0.65,Restricted
MAC-10-Saib%C4%81-Oni,$11.79,$11.68,$6.15,$5.84,$2.39,$2.35,$3.35,$3.04,$1.80,$1.75,$4.54,$4.36,$2.20,$2.24,$0.88,$0.86,$1.23,$1.21,$0.80,$0.78,Restricted
Dual-Berettas-Hydro-Strike,$11.89,$12.14,$4.86,$4.57,$1.99,$1.99,$2.18,$1.63,$1.68,$1.68,$4.60,$4.56,$2.24,$2.09,$0.83,$0.83,$1.17,$1.14,$0.70,$0.66,Restricted
P90-Randy-Rush,$8.25,$8.48,$3.86,$3.89,$1.52,$1.55,$1.50,$1.74,$1.38,$1.29,$4.02,$4.03,$2.04,$1.97,$0.71,$0.72,$0.77,$0.81,$0.63,$0.64,Restricted
Desert-Eagle-Calligraffiti,$6.27,$6.24,$1.42,$1.53,$0.82,$0.87,$0.70,$0.68,$0.59,$0.67,$1.11,$1.24,$0.32,$0.32,$0.16,$0.18,$0.14,$0.13,$0.13,$0.12,Restricted
R8-Revolver-Tango,$4.67,$4.94,$1.09,$1.02,$0.36,$0.35,$0.52,$0.40,$0.29,$0.28,$0.98,$0.89,$0.34,$0.32,$0.16,$0.18,$0.17,$0.13,$0.12,$0.11,Mil-Spec
AUG-Luxe-Trim,$4.34,$4.45,$0.95,$1.04,$0.38,$0.37,$0.26,$0.27,$0.26,$0.24,$0.94,$0.90,$0.32,$0.32,$0.16,$0.18,$0.12,$0.10,$0.12,$0.11,Mil-Spec
MP5-SD-Statics,$2.53,$2.41,$0.70,$0.71,$0.27,$0.26,$0.20,$0.19,$0.17,$0.17,$0.88,$0.87,$0.29,$0.29,$0.17,$0.16,$0.12,$0.11,$0.12,$0.11,Mil-Spec
M249-Hypnosis,$1.77,$1.75,$0.80,$0.78,$0.32,$0.31,$0.20,$0.20,$0.19,$0.18,$0.99,$0.99,$0.29,$0.30,$0.17,$0.19,$0.12,$0.14,$0.12,$0.12,Mil-Spec
SCAR-20-Trail-Blazer,$1.75,$1.63,$0.82,$0.77,$0.32,$0.32,$0.29,$0.29,$0.20,$0.18,$0.62,$0.64,$0.32,$0.31,$0.17,$0.18,$0.14,$0.10,$0.12,$0.10,Mil-Spec
