Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Mecha-Industries,$346.11,$340.00,$196.08,$196.01,$95.50,$95.50,$134.37,$117.93,$94.07,$92.16,$264.06,$249.97,$79.00,$78.96,$39.99,$39.01,$43.60,$43.50,$33.74,$33.76,Covert
Glock-18-Wasteland-Rebel,$49.08,$49.03,$30.08,$30.26,$24.15,$22.15,$28.63,$27.75,$24.93,$23.12,$32.92,$31.75,$7.05,$6.66,$5.00,$4.92,$8.66,$7.67,$4.96,$4.89,Covert
M4A4-Desolate-Space,$154.13,$109.11,$51.43,$48.97,$31.47,$27.98,$25.15,$24.40,$22.27,$21.57,$83.29,$82.09,$18.71,$18.76,$10.97,$10.52,$9.67,$9.55,$9.00,$8.85,Classified
P2000-Imperial-Dragon,$33.08,$31.83,$16.38,$16.38,$8.86,$8.76,$11.35,$11.01,$11.50,$10.97,$18.09,$17.36,$7.45,$7.01,$3.70,$3.60,$3.72,$3.62,$3.62,$3.50,Classified
SCAR-20-Bloodsport,$15.00,$6.53,$3.96,$3.46,$26.60,$32.24,$13.42,$12.95,$8.20,$7.34,$7.72,$7.38,$15.00,$13.43,$6.53,$7.20,$3.96,$3.74,$3.46,$3.43,Classified
AWP-Phobos,$6.28,$2.41,$1.95,$4.32,$11.29,$12.12,$6.96,$6.80,$6.30,$6.02,$16.94,$16.90,$6.28,$6.29,$2.41,$2.35,$1.95,$1.96,$4.32,$4.22,Restricted
R8-Revolver-Reboot,$21.09,$21.71,$5.64,$5.59,$2.48,$2.40,$1.53,$1.36,$1.31,$1.23,$4.29,$4.20,$1.62,$1.54,$0.80,$0.71,$0.65,$0.64,$0.50,$0.55,Restricted
AUG-Aristocrat,$10.25,$10.00,$4.34,$4.37,$2.18,$2.09,$3.47,$2.87,$1.75,$1.86,$4.26,$3.56,$1.89,$1.83,$0.92,$0.91,$0.96,$0.93,$0.92,$0.82,Restricted
P90-Chopper,$7.71,$8.56,$3.99,$3.94,$1.86,$1.76,$2.41,$2.59,$1.73,$1.69,$4.17,$4.03,$1.47,$1.46,$0.83,$0.82,$0.77,$0.82,$0.71,$0.64,Restricted
Sawed-Off-Limelight,$9.55,$10.50,$3.53,$3.22,$1.75,$1.57,$1.15,$1.16,$1.34,$1.16,$4.37,$4.03,$1.47,$1.47,$0.69,$0.72,$0.60,$0.53,$0.60,$0.62,Restricted
Five-SeveN-Violent-Daimyo,$5.14,$4.96,$2.56,$2.55,$1.09,$1.10,$1.81,$1.82,$0.80,$0.81,$1.51,$1.43,$0.73,$0.70,$0.43,$0.49,$0.57,$0.52,$0.34,$0.32,Mil-Spec
Tec-9-Ice-Cap,$3.30,$3.17,$1.98,$1.93,$0.51,$0.47,$0.55,$0.56,$0.57,$0.47,$0.99,$0.99,$0.49,$0.54,$0.43,$0.46,$0.41,$0.37,$0.36,$0.33,Mil-Spec
MAC-10-Carnivore,$4.37,$4.21,$0.75,$0.79,$0.38,$0.40,$0.35,$0.34,$0.35,$0.33,$1.06,$0.98,$0.42,$0.39,$0.43,$0.56,$0.30,$0.35,$0.29,$0.26,Mil-Spec
P250-Iron-Clad,$4.17,$4.17,$0.65,$0.69,$0.34,$0.32,$0.57,$0.53,$0.34,$0.33,$1.16,$1.14,$0.37,$0.36,$0.41,$0.40,$0.30,$0.30,$0.26,$0.31,Mil-Spec
PP-Bizon-Harvester,$3.88,$3.34,$0.64,$0.64,$0.37,$0.38,$0.30,$0.32,$0.37,$0.28,$0.69,$0.63,$0.32,$0.37,$0.43,$0.43,$0.34,$0.34,$0.34,$0.24,Mil-Spec
Nova-Exo,$1.58,$1.59,$0.63,$0.64,$0.38,$0.39,$0.42,$0.36,$0.51,$0.49,$0.50,$0.49,$0.41,$0.39,$0.46,$0.44,$0.31,$0.30,$0.35,$0.23,Mil-Spec
SG-553-Aerial,$1.55,$1.52,$0.71,$0.69,$0.30,$0.31,$0.39,$0.40,$0.32,$0.47,$0.71,$0.71,$0.42,$0.43,$0.40,$0.43,$0.47,$0.40,$0.25,$0.21,Mil-Spec
