Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Wasteland-Rebel,$70.96,$48.36,$420.18,$272.52,$161.39,$148.40,$166.75,$124.05,$158.27,$119.18,$560.21,$345.00,$102.60,$99.32,$53.16,$52.15,$70.96,$63.99,$48.36,$45.04,Covert
P2000-Fire-Elemental,$262.61,$206.40,$149.50,$104.12,$73.38,$65.06,$76.38,$71.96,$71.93,$55.04,$57.84,$54.88,$19.87,$18.25,$13.51,$13.27,$12.55,$11.51,$12.26,$12.26,Covert
XM1014-Tranquility,$123.86,$123.43,$65.01,$59.92,$32.55,$34.42,$53.74,$26.16,$39.70,$39.40,$30.90,$26.50,$13.99,$13.91,$7.97,$7.91,$8.88,$8.32,$8.63,$6.60,Classified
P250-Cartel,$100.00,$100.00,$38.35,$38.34,$20.39,$19.10,$20.53,$17.55,$19.60,$20.39,$26.86,$24.00,$10.78,$10.75,$7.26,$7.26,$12.03,$10.79,$7.43,$6.95,Classified
SCAR-20-Cardiac,$81.00,$64.53,$22.97,$22.99,$14.69,$15.01,$13.47,$10.78,$12.85,$12.85,$21.50,$18.95,$8.18,$8.16,$6.44,$5.75,$4.73,$4.91,$3.51,$3.50,Classified
M4A1-S-Basilisk,$69.92,$62.44,$38.57,$38.55,$26.86,$26.75,$33.08,$29.44,$26.04,$26.00,$41.60,$40.98,$13.24,$13.36,$10.66,$10.78,$11.38,$11.38,$10.41,$10.38,Restricted
M4A4-Griffin,$57.35,$28.96,$11.11,$10.16,$6.73,$6.58,$11.88,$10.06,$6.27,$6.26,$38.45,$38.41,$5.40,$5.29,$2.56,$2.52,$5.20,$4.98,$2.33,$2.25,Restricted
Glock-18-Grinder,(NT$),($U),$11.10,$8.68,$9.96,$5.00,$1.68,$1.68,$11.10,$10.63,$8.68,$8.52,$9.96,$9.70,$5.00,$4.43,$1.68,$1.62,$1.68,$1.68,Restricted
Sawed-Off-Highwayman,$16.11,$8.93,$5.60,$7.78,$3.28,$3.32,$2.11,$2.01,$2.18,$2.24,$3.45,$3.77,$1.61,$1.62,$1.01,$1.01,$0.97,$0.93,$0.84,$0.86,Restricted
MP9-Dart,$3.31,$3.23,$2.68,$2.55,$2.68,$2.68,$116.87,$3.16,$7.03,$3.38,$1.87,$1.88,$1.11,$1.14,$0.62,$0.59,$0.80,$0.56,$2.36,$2.38,Mil-Spec
MAG-7-Firestarter,$25.01,$17.44,$2.64,$2.49,$1.40,$1.33,$1.68,$1.67,$2.84,$1.83,$6.06,$5.50,$1.24,$1.22,$0.63,$0.55,$0.71,$0.71,$0.76,$0.50,Mil-Spec
Five-SeveN-Urban-Hazard,(NT$),($U),$7.49,$5.36,$4.29,$3.25,$2.48,$1.89,$7.49,$7.45,$5.36,$5.32,$4.29,$4.06,$3.25,$3.17,$2.48,$2.44,$1.89,$1.81,Mil-Spec
UMP-45-Delusion,(NT$),($U),$6.68,$1.97,$1.72,$3.22,$1.10,$0.62,$6.68,$6.57,$1.97,$2.01,$1.72,$1.55,$3.22,$2.98,$1.10,$1.12,$0.62,$0.60,Mil-Spec
G3SG1-Murky,(NT$),($U),$3.00,$1.87,$1.38,$3.74,$1.52,$0.62,$3.00,$3.40,$1.87,$1.92,$1.38,$1.25,$3.74,$2.35,$1.52,$1.33,$0.62,$0.63,Mil-Spec
