Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Fuel-Injector,$214.37,"$1,536.40",$977.77,$740.00,$600.00,$531.60,$430.00,$352.45,$335.54,$335.55,"$1,050.45",$966.00,$445.80,$419.75,$332.85,$324.50,$276.61,$276.91,$214.37,$217.95,Covert
M4A4-The-Battlestar,$117.64,$88.89,$40.03,$37.53,$26.51,$24.08,$57.55,$56.12,$33.90,$26.66,$87.33,$85.34,$19.38,$18.75,$8.64,$8.47,$10.02,$9.86,$7.67,$7.65,Covert
Desert-Eagle-Kumicho-Dragon,$163.00,$154.52,$86.98,$73.81,$57.33,$55.02,$151.88,$46.00,$56.36,$49.07,$105.00,$96.76,$38.00,$37.86,$26.45,$27.15,$27.28,$26.07,$26.77,$25.91,Classified
AWP-Elite-Build,$124.43,$124.68,$70.16,$70.00,$39.70,$39.81,$38.95,$30.89,$37.09,$34.61,$93.38,$92.36,$33.62,$32.09,$24.52,$24.10,$19.66,$21.78,$20.72,$20.03,Classified
Nova-Hyper-Beast,$134.13,$97.25,$69.00,$60.46,$39.00,$39.00,$41.00,$37.74,$36.74,$33.78,$57.78,$53.74,$32.00,$32.00,$24.74,$23.19,$27.29,$22.48,$20.50,$20.30,Classified
Glock-18-Royal-Legion,$44.00,$42.98,$13.19,$13.27,$6.80,$6.06,$4.63,$4.15,$4.74,$4.72,$15.89,$15.29,$4.88,$5.11,$3.00,$2.77,$2.58,$2.37,$2.38,$2.27,Restricted
FAMAS-Valence,$32.43,$29.99,$11.08,$10.87,$5.24,$5.19,$9.23,$6.50,$4.45,$4.48,$11.20,$10.70,$5.17,$5.01,$2.94,$2.88,$2.84,$2.45,$2.26,$2.24,Restricted
MP7-Impire,$8.76,$4.60,$3.37,$3.36,$13.69,$14.16,$8.17,$5.37,$6.72,$6.72,$8.48,$5.50,$8.76,$7.79,$4.60,$4.68,$3.37,$3.16,$3.36,$3.35,Restricted
Five-SeveN-Triumvirate,$14.03,$14.01,$9.39,$8.45,$8.09,$7.97,$8.85,$5.61,$8.09,$8.13,$8.34,$8.23,$4.38,$4.38,$2.93,$2.90,$2.96,$2.94,$2.90,$2.53,Restricted
MAG-7-Praetorian,$8.05,$4.50,$2.82,$2.92,$14.95,$11.50,$8.45,$7.10,$6.09,$6.34,$6.13,$4.24,$8.05,$7.88,$4.50,$4.36,$2.82,$2.87,$2.92,$1.93,Restricted
USP-S-Lead-Conduit,$34.50,$32.15,$6.41,$6.23,$3.98,$3.99,$3.34,$3.31,$2.95,$2.89,$6.83,$6.74,$1.98,$1.86,$1.11,$1.10,$0.80,$0.79,$0.73,$0.71,Mil-Spec
Tec-9-Jambiya,$11.10,$11.10,$2.14,$2.05,$1.10,$1.10,$0.80,$0.72,$0.70,$0.59,$2.65,$2.44,$0.94,$0.93,$0.83,$0.74,$0.65,$0.53,$0.53,$0.52,Mil-Spec
SSG-08-Necropos,$11.12,$11.00,$1.99,$1.76,$1.09,$1.12,$0.84,$0.82,$0.76,$0.70,$1.76,$1.73,$0.87,$0.81,$0.94,$0.93,$0.65,$0.73,$0.53,$0.55,Mil-Spec
Dual-Berettas-Cartel,$9.37,$8.20,$2.35,$2.27,$1.11,$1.11,$0.78,$0.77,$0.75,$0.73,$3.04,$3.04,$0.93,$0.92,$0.77,$0.80,$0.63,$0.58,$0.54,$0.56,Mil-Spec
PP-Bizon-Photic-Zone,$6.79,$6.04,$1.98,$1.88,$1.05,$1.16,$0.69,$0.61,$0.60,$0.59,$2.00,$1.94,$0.81,$0.83,$0.94,$0.94,$0.61,$0.82,$0.76,$0.76,Mil-Spec
MAC-10-Lapis-Gator,$4.18,$3.65,$2.26,$2.14,$1.11,$1.08,$1.24,$1.13,$1.34,$1.29,$1.29,$1.27,$0.96,$0.95,$0.83,$0.82,$0.74,$0.73,$0.57,$0.51,Mil-Spec
