Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Player-Two,$393.34,$365.08,$144.22,$118.45,$71.50,$67.85,$72.50,$60.46,$64.44,$61.87,$266.03,$241.86,$67.27,$65.84,$29.83,$30.01,$31.68,$31.51,$20.76,$20.40,Covert
Glock-18-Bullet-Queen,$215.93,$209.42,$73.19,$63.76,$32.73,$31.05,$22.40,$21.40,$22.15,$22.09,$81.22,$77.53,$22.15,$21.94,$7.41,$7.18,$4.73,$4.64,$4.50,$4.50,Covert
AK-47-Phantom-Disruptor,$61.73,$63.91,$24.15,$24.58,$15.00,$15.06,$18.70,$16.46,$14.75,$14.00,$55.66,$55.00,$9.33,$9.32,$4.40,$4.51,$7.28,$7.10,$3.93,$3.89,Classified
MAC-10-Disco-Tech,$80.50,$87.63,$19.55,$19.27,$9.10,$8.42,$5.08,$5.31,$4.92,$4.60,$25.60,$25.50,$7.74,$7.51,$3.47,$3.33,$2.79,$2.74,$2.66,$2.59,Classified
MAG-7-Justice,$70.00,$70.00,$15.84,$13.57,$6.49,$5.90,$5.09,$4.17,$4.53,$4.06,$21.13,$19.52,$6.55,$6.50,$2.77,$2.85,$2.11,$2.00,$1.97,$1.98,Classified
SSG-08-Fever-Dream,$13.57,$14.00,$5.32,$5.79,$2.53,$2.48,$4.87,$4.54,$2.00,$1.98,$4.04,$3.89,$2.27,$2.23,$0.86,$0.82,$1.63,$1.53,$0.66,$0.61,Restricted
SG-553-Darkwing,$14.03,$13.76,$2.99,$2.94,$1.15,$1.12,$1.18,$1.12,$1.15,$1.11,$3.60,$3.76,$1.42,$1.40,$0.48,$0.46,$0.38,$0.39,$0.37,$0.40,Restricted
P2000-Acid-Etched,$9.20,$9.22,$2.57,$2.47,$1.26,$1.30,$0.97,$0.92,$0.88,$0.87,$3.79,$3.59,$1.53,$1.42,$0.46,$0.45,$0.38,$0.42,$0.38,$0.41,Restricted
Sawed-Off-Apocalypto,$7.83,$7.22,$2.35,$2.19,$1.10,$1.09,$0.95,$0.87,$1.00,$1.01,$3.77,$3.82,$1.44,$1.37,$0.50,$0.47,$0.48,$0.47,$0.41,$0.44,Restricted
SCAR-20-Enforcer,$7.47,$7.56,$2.20,$2.22,$0.98,$0.95,$0.82,$0.87,$0.75,$0.78,$3.83,$3.48,$1.43,$1.39,$0.43,$0.41,$0.38,$0.33,$0.38,$0.35,Restricted
AWP-Capillary,$16.62,$15.82,$3.50,$3.58,$2.39,$2.31,$3.24,$3.10,$2.41,$2.30,$4.55,$4.49,$1.00,$0.95,$0.48,$0.50,$0.85,$0.88,$0.49,$0.47,Mil-Spec
Desert-Eagle-Blue-Ply,$13.42,$13.67,$2.45,$2.48,$1.33,$1.33,$0.94,$0.99,$1.00,$0.94,$2.45,$2.37,$0.54,$0.59,$0.30,$0.31,$0.25,$0.24,$0.23,$0.23,Mil-Spec
Negev-Prototype,$2.04,$1.82,$0.60,$0.58,$0.17,$0.16,$0.25,$0.23,$0.15,$0.14,$0.46,$0.45,$0.20,$0.20,$0.27,$0.28,$0.15,$0.12,$0.14,$0.14,Mil-Spec
AUG-Tom-Cat,$1.65,$1.75,$0.52,$0.50,$0.18,$0.18,$0.35,$0.34,$0.18,$0.17,$0.48,$0.46,$0.21,$0.22,$0.24,$0.25,$0.14,$0.15,$0.13,$0.12,Mil-Spec
CZ75-Auto-Distressed,$1.47,$1.47,$0.34,$0.32,$0.17,$0.17,$0.15,$0.14,$0.15,$0.14,$0.50,$0.58,$0.18,$0.21,$0.20,$0.23,$0.14,$0.12,$0.14,$0.15,Mil-Spec
MP5-SD-Desert-Strike,$1.49,$1.49,$0.31,$0.31,$0.14,$0.14,$0.13,$0.11,$0.13,$0.11,$0.53,$0.52,$0.20,$0.23,$0.20,$0.24,$0.14,$0.14,$0.12,$0.14,Mil-Spec
R8-Revolver-Bone-Forged,$1.09,$1.09,$0.35,$0.37,$0.19,$0.17,$0.27,$0.28,$0.21,$0.20,$0.36,$0.33,$0.21,$0.21,$0.20,$0.23,$0.15,$0.11,$0.13,$0.16,Mil-Spec
