Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Temukau,$308.13,$300.00,$107.00,$109.20,$33.86,$34.60,$36.39,$36.10,$30.13,$29.35,$144.50,$143.72,$49.04,$48.89,$13.43,$13.54,$12.05,$12.28,$7.16,$7.13,Covert
AK-47-Head-Shot,$169.99,$155.88,$54.90,$54.46,$30.26,$25.73,$18.63,$18.12,$16.64,$16.57,$65.55,$66.21,$18.70,$18.08,$9.06,$8.72,$6.45,$6.31,$4.91,$4.98,Covert
AWP-Duality,$33.85,$32.65,$13.58,$13.43,$5.86,$6.11,$9.11,$9.08,$5.79,$5.32,$16.50,$16.57,$5.84,$5.58,$2.16,$2.30,$2.96,$2.92,$2.08,$1.84,Classified
P2000-Wicked-Sick,$29.02,$26.86,$9.00,$8.69,$3.54,$3.35,$2.54,$2.33,$2.23,$2.33,$14.09,$13.75,$4.48,$4.44,$1.86,$1.69,$1.32,$1.32,$1.30,$1.33,Classified
UMP-45-Wild-Child,$28.01,$27.00,$9.14,$8.88,$3.30,$3.41,$3.01,$2.33,$2.14,$2.34,$14.19,$13.89,$4.56,$4.56,$1.80,$1.81,$1.30,$1.33,$1.35,$1.32,Classified
M4A1-S-Emphorosaur-S,$12.81,$12.80,$4.25,$4.91,$2.49,$2.31,$3.33,$3.46,$2.31,$2.19,$3.60,$3.46,$1.15,$1.26,$0.54,$0.52,$0.97,$0.99,$0.52,$0.48,Restricted
Glock-18-Umbral-Rabbit,$6.30,$6.16,$2.49,$2.41,$0.97,$0.96,$1.56,$1.55,$0.94,$0.91,$2.10,$2.01,$0.84,$0.79,$0.34,$0.35,$0.40,$0.43,$0.31,$0.30,Restricted
R8-Revolver-Banana-Cannon,$6.30,$6.75,$1.40,$1.34,$0.54,$0.54,$0.53,$0.50,$0.49,$0.44,$2.01,$1.91,$0.55,$0.55,$0.25,$0.26,$0.25,$0.26,$0.27,$0.24,Restricted
P90-Neoqueen,$4.00,$4.02,$1.53,$1.54,$0.69,$0.68,$0.89,$0.90,$1.21,$1.14,$1.70,$1.71,$0.60,$0.59,$0.27,$0.27,$0.28,$0.29,$0.30,$0.30,Restricted
MAC-10-Sakkaku,(NT$),($U),$3.05,$1.17,$0.53,$0.70,$0.29,$0.27,$3.05,$3.05,$1.17,$1.16,$0.53,$0.58,$0.70,$0.68,$0.29,$0.28,$0.27,$0.26,Restricted
MP5-SD-Liquidation,$1.67,$1.70,$0.30,$0.30,$0.14,$0.12,$0.11,$0.11,$0.13,$0.12,$0.37,$0.34,$0.11,$0.10,$0.07,$0.04,$0.07,$0.04,$0.06,$0.04,Mil-Spec
MP9-Featherweight,$1.52,$1.42,$0.32,$0.31,$0.14,$0.12,$0.12,$0.12,$0.12,$0.11,$0.34,$0.33,$0.11,$0.10,$0.07,$0.04,$0.06,$0.04,$0.06,$0.04,Mil-Spec
Tec-9-Rebel,$1.40,$1.19,$0.31,$0.30,$0.15,$0.13,$0.13,$0.12,$0.11,$0.11,$0.38,$0.35,$0.11,$0.09,$0.07,$0.04,$0.06,$0.04,$0.06,$0.04,Mil-Spec
SG-553-Cyberforce,$1.35,$1.35,$0.30,$0.32,$0.13,$0.12,$0.12,$0.11,$0.12,$0.11,$0.38,$0.35,$0.11,$0.10,$0.07,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
MAG-7-Insomnia,$1.27,$1.23,$0.31,$0.30,$0.13,$0.12,$0.12,$0.11,$0.11,$0.11,$0.34,$0.32,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
P250-Rebuilt,$1.17,$1.14,$0.32,$0.31,$0.13,$0.12,$0.12,$0.10,$0.12,$0.11,$0.36,$0.33,$0.11,$0.10,$0.06,$0.04,$0.07,$0.04,$0.06,$0.04,Mil-Spec
SCAR-20-Fragments,$0.88,$0.89,$0.32,$0.32,$0.13,$0.12,$0.13,$0.12,$0.12,$0.11,$0.29,$0.32,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,$0.06,$0.04,Mil-Spec
