Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Royal-Paladin,$373.69,$366.73,$99.51,$88.24,$37.41,$36.92,$53.24,$36.08,$37.53,$36.07,$240.25,$237.29,$47.91,$47.89,$12.97,$12.61,$9.98,$9.98,$9.62,$9.54,Covert
R8-Revolver-Fade,$37.34,$12.50,$9.68,$17.25,$117.18,$114.98,$64.26,$63.96,$46.14,$42.78,$76.48,$62.59,$37.34,$35.80,$12.50,$12.62,$9.68,$9.68,$17.25,$12.51,Covert
AK-47-Point-Disarray,$198.00,$163.27,$76.60,$76.58,$38.78,$37.04,$45.03,$44.83,$34.69,$34.47,$156.36,$157.50,$46.63,$45.19,$14.30,$14.63,$18.00,$17.25,$12.70,$12.51,Classified
G3SG1-The-Executioner,$152.68,$2.03,$1.73,$1.67,$116.98,$137.85,$5.99,$6.19,$5.15,$5.11,$4.64,$4.43,$152.68,$12.16,$2.03,$2.23,$1.73,$1.69,$1.67,$1.62,Classified
P90-Shapewood,$52.00,$52.00,$14.28,$16.08,$7.37,$6.87,$7.41,$7.27,$7.43,$6.71,$14.97,$14.96,$7.50,$6.70,$2.22,$2.20,$1.73,$1.72,$1.73,$1.56,Classified
Negev-Power-Loader,$52.81,$50.01,$17.91,$14.98,$7.03,$6.00,$4.16,$3.52,$2.65,$2.53,$8.41,$8.27,$4.19,$3.99,$1.58,$1.54,$1.08,$0.97,$0.81,$0.78,Restricted
Tec-9-Avalanche,$32.52,$28.75,$16.46,$14.84,$6.33,$6.32,$5.20,$5.00,$4.73,$4.91,$13.85,$11.40,$4.41,$4.40,$2.58,$2.41,$1.61,$1.55,$1.31,$1.30,Restricted
Five-SeveN-Retrobution,$16.65,$13.71,$6.18,$6.18,$3.10,$3.09,$2.85,$2.57,$2.64,$2.54,$9.63,$9.40,$3.79,$3.74,$1.42,$1.42,$1.00,$0.98,$0.94,$0.89,Restricted
XM1014-Teclu-Burner,$12.04,$9.77,$5.48,$6.90,$3.33,$3.22,$4.26,$4.01,$4.50,$4.50,$6.83,$6.38,$3.74,$3.95,$1.40,$1.40,$1.62,$1.46,$1.40,$1.37,Restricted
PP-Bizon-Fuel-Rod,$13.86,$11.50,$5.77,$5.85,$3.07,$2.00,$1.99,$1.95,$1.91,$1.52,$5.86,$5.76,$3.60,$3.74,$1.19,$1.12,$1.00,$0.93,$0.92,$0.85,Restricted
SG-553-Tiger-Moth,$10.50,$10.30,$4.37,$4.85,$2.58,$2.68,$2.48,$2.50,$2.72,$2.67,$5.86,$5.68,$3.61,$3.73,$1.12,$1.09,$0.84,$0.86,$0.81,$0.86,Restricted
R8-Revolver-Crimson-Web,$31.53,$31.37,$2.65,$2.67,$0.55,$0.57,$0.53,$0.50,$0.40,$0.35,$5.08,$5.00,$0.50,$0.49,$0.21,$0.20,$0.17,$0.17,$0.12,$0.10,Mil-Spec
Desert-Eagle-Corinthian,$0.92,$0.51,$0.34,$0.55,$5.01,$5.28,$3.46,$3.23,$2.44,$2.44,$3.50,$3.34,$0.92,$0.94,$0.51,$0.61,$0.34,$0.36,$0.55,$0.55,Mil-Spec
P2000-Imperial,$5.86,$4.82,$2.57,$1.43,$1.08,$0.70,$0.53,$0.37,$2.57,$2.43,$1.43,$1.43,$1.08,$1.08,$0.70,$0.79,$0.53,$0.55,$0.37,$0.35,Mil-Spec
AUG-Ricochet,$3.26,$3.26,$1.55,$1.51,$0.58,$0.55,$1.17,$1.17,$0.37,$0.35,$0.94,$0.81,$0.51,$0.52,$0.18,$0.18,$0.20,$0.22,$0.11,$0.09,Mil-Spec
Sawed-Off-Yorick,$3.25,$3.26,$1.21,$1.26,$0.70,$0.52,$0.40,$0.36,$0.35,$0.35,$0.88,$0.85,$0.47,$0.46,$0.20,$0.21,$0.12,$0.10,$0.10,$0.10,Mil-Spec
SCAR-20-Outbreak,$2.15,$2.11,$1.06,$1.02,$0.60,$0.59,$0.36,$0.35,$0.58,$0.57,$0.69,$0.76,$0.46,$0.47,$0.42,$0.36,$0.17,$0.12,$0.16,$0.16,Mil-Spec
