Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
USP-S-The-Traitor,$437.89,$361.55,$99.93,$98.15,$61.93,$63.85,$49.80,$46.77,$50.04,$48.49,$126.18,$119.42,$30.29,$28.98,$17.36,$17.33,$14.46,$13.77,$13.60,$13.47,Covert
M4A4-In-Living-Color,$180.00,$160.00,$48.30,$46.75,$22.51,$21.12,$35.79,$33.09,$21.23,$19.98,$106.33,$99.41,$20.10,$19.81,$8.19,$8.04,$9.93,$9.87,$6.80,$6.12,Covert
Galil-AR-Chromatic-Aberration,$50.02,$50.00,$16.68,$14.92,$7.98,$7.98,$5.75,$5.72,$5.94,$5.77,$18.77,$18.84,$6.21,$6.26,$3.05,$3.22,$2.43,$2.30,$2.25,$2.16,Classified
MP9-Food-Chain,$45.43,$40.89,$14.68,$14.52,$7.45,$7.57,$5.44,$5.44,$4.99,$4.80,$16.51,$16.44,$5.47,$5.37,$2.53,$2.48,$2.01,$1.94,$1.62,$1.61,Classified
XM1014-XOXO,$37.81,$38.29,$11.63,$12.54,$4.84,$4.66,$4.67,$4.48,$4.41,$4.14,$14.20,$12.88,$4.55,$4.26,$1.99,$1.85,$1.84,$1.83,$1.84,$1.80,Classified
AK-47-Slate,$70.96,$65.68,$31.48,$30.38,$18.70,$19.99,$16.45,$15.81,$16.05,$15.88,$21.00,$21.02,$7.93,$8.62,$4.95,$4.95,$4.32,$4.02,$3.65,$3.93,Restricted
Desert-Eagle-Trigger-Discipline,$17.25,$16.65,$7.25,$7.37,$2.83,$2.96,$2.04,$1.90,$1.88,$1.73,$4.88,$4.78,$1.87,$2.01,$0.78,$0.77,$0.55,$0.52,$0.48,$0.46,Restricted
P250-Cyber-Shell,$6.04,$5.91,$2.18,$2.24,$0.78,$0.72,$1.06,$1.00,$0.60,$0.70,$1.81,$1.89,$0.77,$0.69,$0.28,$0.29,$0.36,$0.35,$0.28,$0.28,Restricted
Negev-dev-texture,$5.86,$4.36,$1.78,$1.60,$0.70,$0.63,$0.80,$0.68,$0.59,$0.58,$1.64,$1.60,$0.71,$0.64,$0.29,$0.29,$0.32,$0.30,$0.30,$0.29,Restricted
MAC-10-Button-Masher,$4.51,$4.52,$1.66,$1.50,$0.62,$0.67,$0.57,$0.58,$0.52,$0.50,$1.81,$1.65,$0.64,$0.67,$0.29,$0.29,$0.29,$0.29,$0.28,$0.27,Restricted
Glock-18-Clear-Polymer,$8.00,$7.45,$1.78,$1.72,$0.92,$0.89,$0.70,$0.65,$0.61,$0.62,$1.81,$1.78,$0.49,$0.47,$0.27,$0.29,$0.23,$0.24,$0.23,$0.22,Mil-Spec
CZ75-Auto-Circaetus,$3.33,$3.22,$1.10,$1.08,$0.55,$0.58,$0.47,$0.46,$0.43,$0.43,$0.93,$0.89,$0.34,$0.34,$0.29,$0.29,$0.23,$0.22,$0.23,$0.22,Mil-Spec
R8-Revolver-Junk-Yard,$2.87,$2.81,$1.06,$1.00,$0.65,$0.63,$0.48,$0.49,$0.46,$0.42,$0.72,$0.73,$0.34,$0.34,$0.28,$0.29,$0.23,$0.21,$0.20,$0.22,Mil-Spec
SG-553-Heavy-Metal,$2.92,$2.89,$1.05,$1.07,$0.54,$0.62,$0.47,$0.48,$0.49,$0.48,$0.78,$0.75,$0.31,$0.33,$0.29,$0.33,$0.23,$0.21,$0.21,$0.23,Mil-Spec
M249-OSIPR,$2.73,$2.11,$1.12,$1.11,$0.69,$0.62,$0.53,$0.50,$0.41,$0.46,$0.65,$0.71,$0.36,$0.34,$0.28,$0.29,$0.25,$0.21,$0.25,$0.21,Mil-Spec
Nova-Windblown,$2.22,$2.26,$1.03,$1.11,$0.70,$0.62,$0.63,$0.55,$0.59,$0.60,$0.59,$0.68,$0.32,$0.35,$0.29,$0.29,$0.35,$0.32,$0.28,$0.26,Mil-Spec
UMP-45-Oscillator,$2.08,$2.08,$1.05,$1.00,$0.82,$0.67,$0.52,$0.49,$0.53,$0.38,$0.64,$0.62,$0.34,$0.33,$0.28,$0.30,$0.20,$0.19,$0.24,$0.21,Mil-Spec
