Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-The-Empress,$617.38,$564.35,$207.00,$222.00,$141.00,$124.02,$109.55,$100.09,$101.63,$100.05,$305.00,$309.98,$77.93,$80.01,$49.64,$51.99,$43.50,$43.16,$42.00,$40.29,Covert
P250-See-Ya-Later,$67.10,$80.01,$30.03,$28.01,$13.06,$12.04,$19.81,$17.46,$11.74,$11.57,$55.92,$55.89,$12.45,$12.10,$5.75,$4.98,$5.42,$5.09,$3.59,$3.51,Covert
M4A1-S-Leaded-Glass,$55.08,$53.60,$26.17,$26.18,$16.63,$16.18,$22.50,$21.50,$15.09,$15.01,$46.35,$45.68,$10.29,$9.95,$6.27,$6.29,$8.86,$8.82,$5.72,$5.73,Classified
R8-Revolver-Llama-Cannon,$70.84,$57.50,$16.27,$14.20,$8.71,$8.20,$9.96,$10.38,$6.30,$5.00,$29.32,$18.52,$6.75,$6.75,$3.41,$3.26,$3.35,$3.25,$2.84,$2.80,Classified
PP-Bizon-High-Roller,$62.00,$59.62,$19.64,$16.11,$8.24,$7.96,$7.67,$7.01,$7.28,$6.05,$23.39,$23.66,$8.01,$7.13,$3.40,$3.69,$3.00,$2.88,$2.70,$2.70,Classified
CZ75-Auto-Tacticat,$6.78,$6.32,$2.43,$2.28,$1.19,$1.18,$1.44,$1.29,$1.16,$1.10,$2.83,$2.79,$1.45,$1.34,$0.61,$0.60,$0.75,$0.70,$0.49,$0.49,Restricted
MP9-Goo,$5.03,$5.26,$3.07,$2.97,$1.38,$1.36,$1.75,$1.57,$1.53,$1.33,$3.07,$2.55,$1.30,$1.31,$0.57,$0.56,$0.73,$0.67,$0.54,$0.51,Restricted
XM1014-Ziggy,$6.71,$6.50,$2.45,$2.44,$1.18,$1.12,$1.79,$1.79,$1.00,$1.00,$2.94,$2.51,$1.16,$1.12,$0.53,$0.55,$0.62,$0.63,$0.49,$0.47,Restricted
UMP-45-Exposure,$5.36,$4.94,$2.37,$2.22,$1.18,$1.16,$1.19,$1.16,$1.16,$1.22,$3.10,$2.67,$1.12,$1.10,$0.55,$0.59,$0.57,$0.57,$0.55,$0.55,Restricted
SG-553-Phantom,$5.88,$4.41,$2.67,$2.20,$1.05,$1.01,$1.18,$1.26,$1.01,$0.99,$2.53,$2.54,$1.05,$1.05,$0.53,$0.51,$0.58,$0.55,$0.50,$0.46,Restricted
Glock-18-Off-World,$5.36,$5.03,$1.10,$1.08,$0.53,$0.56,$0.51,$0.54,$0.51,$0.51,$1.00,$1.16,$0.29,$0.28,$0.23,$0.24,$0.19,$0.19,$0.17,$0.18,Mil-Spec
Tec-9-Cracked-Opal,$4.22,$4.37,$0.97,$0.90,$0.37,$0.40,$0.26,$0.24,$0.24,$0.23,$0.99,$1.01,$0.24,$0.22,$0.23,$0.24,$0.15,$0.14,$0.17,$0.17,Mil-Spec
AUG-Triqua,$3.57,$3.57,$0.72,$0.71,$0.26,$0.25,$0.21,$0.18,$0.19,$0.18,$0.60,$0.56,$0.24,$0.23,$0.26,$0.24,$0.18,$0.17,$0.17,$0.16,Mil-Spec
G3SG1-Hunter,$2.34,$1.95,$0.48,$0.46,$0.23,$0.21,$0.18,$0.18,$0.19,$0.17,$0.55,$0.56,$0.21,$0.21,$0.21,$0.28,$0.15,$0.16,$0.17,$0.14,Mil-Spec
MAC-10-Oceanic,$1.08,$1.09,$0.54,$0.54,$0.24,$0.22,$0.29,$0.31,$0.17,$0.18,$0.41,$0.46,$0.25,$0.24,$0.26,$0.24,$0.19,$0.20,$0.17,$0.17,Mil-Spec
Sawed-Off-Morris,$1.10,$1.14,$0.40,$0.40,$0.25,$0.22,$0.15,$0.14,$0.13,$0.11,$0.38,$0.37,$0.24,$0.23,$0.25,$0.23,$0.15,$0.14,$0.15,$0.14,Mil-Spec
SCAR-20-Jungle-Slipstream,$0.88,$0.77,$0.43,$0.46,$0.20,$0.18,$0.21,$0.22,$0.21,$0.21,$0.34,$0.34,$0.24,$0.24,$0.21,$0.22,$0.18,$0.16,$0.23,$0.20,Mil-Spec
