Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Eye-of-Horus,$1284.00,$1536.21,$499.99,$934.77,$888.88,$850.00,$578.86,$479.98,$300.00,$282.85,$233.17,$200.00,$184.00,$181.12,$1536.21,$850.00,$499.99,$385.38,$349.58,$584.56,Covert
FAMAS-Waters-of-Nephthys,$150.13,$153.88,$81.32,$80.05,$42.98,$42.02,$38.34,$37.41,$38.00,$36.90,$322.03,$321.42,$109.84,$75.02,$50.44,$35.03,$78.82,$37.53,$42.32,$38.76,Classified
P250-Apeps-Curse,$126.00,$111.11,$75.00,$56.36,$37.00,$39.35,$32.20,$27.90,$30.64,$25.00,$233.45,$117.59,$53.62,$43.04,$27.33,$27.40,$25.77,$23.97,$26.27,$22.52,Classified
Glock-18-Rameses-Reach,$28.41,$26.02,$14.95,$13.45,$6.51,$6.67,$4.71,$4.52,$4.50,$4.41,$166.03,$105.17,$33.78,$34.30,$13.20,$12.34,$10.98,$10.70,$11.24,$10.60,Restricted
P90-ScaraB-Rush,$16.51,$16.40,$7.72,$7.41,$4.51,$4.48,$3.31,$3.30,$3.19,$3.13,$115.00,$32.06,$10.35,$7.13,$5.66,$4.84,$3.24,$2.68,$3.33,$3.26,Restricted
Nova-Sobeks-Bite,$16.01,$15.50,$7.51,$7.42,$4.50,$4.51,$3.37,$3.16,$4.06,$3.54,$42.02,$42.00,$7.70,$7.84,$3.97,$3.87,$3.23,$2.62,$3.50,$4.26,Restricted
AWP-Black-Nile,$9.77,$9.06,$5.03,$4.66,$2.81,$2.70,$3.94,$4.02,$3.57,$3.53,$41.97,$41.97,$14.68,$15.06,$9.62,$8.44,$18.67,$20.90,$9.63,$10.45,Mil-Spec
AK-47-Steel-Delta,$4.99,$4.92,$2.24,$2.38,$1.52,$1.47,$2.11,$2.02,$2.00,$2.00,$20.94,$23.80,$7.01,$6.50,$4.53,$4.50,$10.62,$9.98,$7.13,$8.45,Mil-Spec
Tec-9-Mummys-Rot,$3.29,$3.14,$1.15,$1.20,$0.62,$0.61,$0.54,$0.51,$0.50,$0.50,$10.97,$11.51,$2.07,$1.81,$0.89,$0.78,$0.62,$0.63,$0.80,$0.40,Mil-Spec
MAG-7-Copper-Coated,$3.10,$2.83,$1.16,$1.12,$0.59,$0.59,$0.41,$0.42,$0.47,$0.39,$4.20,$4.07,$0.82,$0.82,$0.25,$0.28,$0.25,$0.24,$0.28,$0.24,Mil-Spec
M4A1-S-Mud-Spec,$1.75,$1.76,$0.52,$0.49,$0.24,$0.23,$0.46,$0.46,$0.61,$0.58,$9.96,$10.01,$3.56,$3.73,$1.99,$1.99,$5.34,$5.33,$3.15,$3.35,Mil-Spec
USP-S-Desert-Tactical,$0.81,$0.72,$0.31,$0.31,$0.14,$0.12,$0.13,$0.12,$0.14,$0.14,$3.79,$3.36,$0.73,$0.72,$0.38,$0.38,$0.35,$0.36,$0.34,$0.36,Mil-Spec
SSG-08-Azure-Glyph,$0.82,$0.79,$0.39,$0.41,$0.13,$0.12,$0.13,$0.11,$0.14,$0.12,$2.43,$2.43,$0.30,$0.32,$0.11,$0.10,$0.10,$0.07,$0.10,$0.08,Mil-Spec
MAC-10-Echoing-Sands,$0.80,$0.78,$0.35,$0.32,$0.14,$0.13,$0.18,$0.18,$0.13,$0.12,$1.58,$1.38,$0.14,$0.13,$0.08,$0.06,$0.29,$0.28,$0.08,$0.07,Mil-Spec
MP7-Sunbaked,$0.23,$0.22,$0.06,$0.04,$0.05,$0.03,$0.04,$0.03,$0.05,$0.03,$0.41,$0.42,$0.05,$0.03,$0.04,$0.03,$0.05,$0.03,$0.05,$0.03,Mil-Spec
AUG-Snake-Pit,$0.14,$0.14,$0.07,$0.04,$0.05,$0.03,$0.06,$0.03,$0.06,$0.04,$0.28,$0.27,$0.09,$0.07,$0.05,$0.03,$0.09,$0.07,$0.05,$0.03,Mil-Spec
R8-Revolver-Inlay,$0.17,$0.16,$0.07,$0.08,$0.05,$0.03,$0.07,$0.04,$0.05,$0.03,$0.27,$0.25,$0.06,$0.03,$0.04,$0.03,$0.10,$0.08,$0.05,$0.03,Mil-Spec
XM1014-Hieroglyph,$0.18,$0.19,$0.06,$0.04,$0.05,$0.03,$0.04,$0.03,$0.05,$0.03,$0.38,$0.38,$0.05,$0.03,$0.04,$0.03,$0.04,$0.03,$0.04,$0.03,Mil-Spec
M249-Submerged,$0.17,$0.16,$0.06,$0.04,$0.05,$0.03,$0.05,$0.03,$0.05,$0.03,$0.18,$0.09,$0.04,$0.03,$0.04,$0.03,$0.06,$0.06,$0.04,$0.03,Mil-Spec
