Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Chanticos-Fire,$490.75,$411.30,$180.00,$197.52,$97.75,$103.50,$86.41,$82.47,$92.00,$80.00,$342.27,$315.62,$87.49,$87.00,$38.89,$37.57,$29.23,$28.95,$25.45,$25.25,Covert
PP-Bizon-Judgement-of-Anubis,$60.00,$59.00,$35.61,$24.93,$16.00,$14.39,$23.17,$21.29,$17.39,$11.65,$23.34,$21.00,$6.70,$6.45,$4.72,$4.61,$4.91,$4.60,$4.73,$4.78,Covert
P250-Asiimov,$44.81,$7.13,$4.57,$2.71,$99.32,$88.71,$16.68,$15.74,$12.77,$12.93,$9.43,$9.48,$44.81,$38.92,$7.13,$6.87,$4.57,$4.49,$2.71,$2.62,Classified
AUG-Fleet-Flock,$43.43,$34.91,$16.18,$12.51,$7.73,$7.46,$7.97,$8.00,$8.06,$7.90,$26.91,$26.27,$6.29,$6.26,$2.77,$2.87,$2.02,$2.01,$1.95,$1.90,Classified
UMP-45-Primal-Saber,$31.89,$26.95,$14.37,$14.90,$5.78,$5.78,$6.04,$4.03,$4.02,$3.87,$23.16,$22.43,$7.60,$7.13,$2.93,$2.85,$2.80,$2.73,$2.02,$2.02,Classified
SSG-08-Ghost-Crusader,$18.05,$17.04,$6.67,$7.21,$2.67,$2.55,$1.99,$1.93,$1.85,$1.81,$4.79,$4.47,$1.54,$1.50,$0.54,$0.50,$0.43,$0.43,$0.38,$0.37,Restricted
XM1014-Black-Tie,$13.30,$13.30,$5.84,$5.38,$1.61,$1.52,$1.99,$1.96,$1.18,$1.10,$3.70,$3.97,$1.53,$1.43,$0.52,$0.51,$0.50,$0.49,$0.38,$0.34,Restricted
Tec-9-Re-Entry,$5.37,$1.08,$0.59,$0.55,$8.37,$7.05,$2.93,$2.82,$1.42,$1.32,$2.10,$1.68,$5.37,$2.98,$1.08,$1.10,$0.59,$0.56,$0.55,$0.56,Restricted
Galil-AR-Firefight,$11.24,$11.50,$3.99,$3.94,$1.38,$1.59,$0.94,$0.93,$0.92,$0.89,$3.83,$4.37,$1.08,$1.09,$0.50,$0.49,$0.39,$0.40,$0.38,$0.37,Restricted
CZ75-Auto-Red-Astor,$6.36,$5.71,$1.91,$1.91,$1.27,$1.38,$0.87,$0.90,$0.94,$0.85,$2.77,$3.01,$1.11,$1.07,$0.47,$0.46,$0.40,$0.39,$0.37,$0.36,Restricted
Sawed-Off-Fubar,$1.91,$1.88,$1.28,$1.15,$0.39,$0.37,$0.64,$0.62,$0.34,$0.34,$0.46,$0.40,$0.27,$0.28,$0.37,$0.41,$0.30,$0.27,$0.28,$0.28,Mil-Spec
M249-Spectre,$1.12,$1.12,$0.60,$0.37,$0.28,$0.26,$3.71,$1.18,$0.28,$0.51,$0.38,$0.35,$0.23,$0.26,$0.32,$0.39,$0.32,$0.21,$0.21,$0.25,Mil-Spec
MP9-Bioleak,$1.91,$1.88,$1.28,$1.15,$0.39,$0.37,$0.64,$0.62,$0.34,$0.34,$0.46,$0.40,$0.27,$0.28,$0.37,$0.41,$0.30,$0.27,$0.28,$0.28,Mil-Spec
P2000-Oceanic,$1.65,$1.64,$0.85,$0.83,$0.28,$0.25,$0.40,$0.39,$0.28,$0.24,$0.43,$0.37,$0.26,$0.26,$0.28,$0.34,$0.37,$0.32,$0.26,$0.26,Mil-Spec
Dual-Berettas-Ventilators,$0.37,$0.25,$0.29,$0.19,$1.45,$1.53,$0.62,$0.60,$0.32,$0.31,$0.40,$0.39,$0.37,$0.37,$0.25,$0.23,$0.29,$0.36,$0.19,$0.22,Mil-Spec
SG-553-Atlas,$1.72,$1.54,$0.52,$0.51,$0.23,$0.22,$0.31,$0.31,$0.24,$0.21,$0.40,$0.36,$0.21,$0.22,$0.36,$0.45,$0.21,$0.21,$0.28,$0.18,Mil-Spec
G3SG1-Orange-Crash,$1.33,$1.32,$0.61,$0.59,$0.27,$0.27,$0.30,$0.38,$0.29,$0.28,$0.34,$0.34,$0.28,$0.28,$0.30,$0.34,$0.21,$0.13,$0.21,$0.23,Mil-Spec
