Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
Galil-AR-Chatterbox,$912.89,$850.29,$478.54,$95.00,$60.46,$114.90,$25.41,$15.09,$478.54,$432.00,$95.00,$81.88,$60.46,$54.14,$114.90,$104.37,$25.41,$24.72,$15.09,$14.21,Covert
AWP-Man-o-war,$884.97,$852.19,$489.54,$478.52,$237.58,$215.26,$195.68,$182.59,$140.22,$119.51,$105.05,$58.00,$140.22,$131.75,$119.51,$110.40,$105.05,$99.99,$58.00,$56.92,Covert
AK-47-Cartel,$147.63,$137.85,$87.78,$78.00,$63.85,$60.95,$70.05,$76.81,$65.44,$61.83,$99.98,$96.00,$29.81,$29.84,$18.47,$18.76,$25.18,$23.81,$18.71,$18.72,Classified
M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,$116.73,$111.56,$64.83,$55.68,$31.56,$31.49,$41.57,$35.72,$31.12,$30.03,$80.87,$78.23,$22.47,$22.28,$12.15,$12.11,$12.39,$12.25,$12.49,$12.04,Classified
P250-Muertos,$46.06,$40.15,$22.67,$26.29,$18.60,$18.19,$17.97,$18.64,$17.25,$16.76,$29.18,$23.96,$9.57,$8.76,$7.17,$6.92,$7.68,$8.13,$7.10,$6.69,Classified
Desert-Eagle-Naga,$28.44,$25.69,$9.82,$9.43,$4.99,$5.03,$4.79,$4.64,$4.56,$4.45,$12.50,$12.06,$4.94,$4.82,$2.07,$1.88,$1.87,$1.75,$1.79,$1.75,Restricted
MAC-10-Malachite,$15.15,$15.43,$7.21,$7.18,$6.00,$5.71,$5.61,$5.25,$6.62,$6.34,$7.50,$7.28,$5.55,$4.89,$2.15,$2.23,$1.79,$1.68,$1.87,$1.59,Restricted
Dual-Berettas-Urban-Shock,$12.88,$11.69,$7.06,$6.45,$4.98,$4.69,$4.99,$4.79,$8.62,$5.00,$7.25,$7.10,$4.90,$4.44,$2.01,$1.98,$1.73,$1.71,$3.61,$2.49,Restricted
Sawed-Off-Serenity,$11.20,$11.20,$8.28,$6.71,$5.30,$4.99,$5.60,$4.96,$6.56,$4.23,$7.32,$6.90,$4.60,$4.12,$1.96,$2.01,$2.14,$2.23,$2.23,$1.85,Restricted
MP9-Deadly-Poison,$8.82,$8.82,$2.10,$1.87,$1.30,$1.22,$0.84,$0.85,$0.93,$0.91,$2.68,$2.37,$0.85,$0.84,$0.40,$0.43,$0.28,$0.25,$0.23,$0.22,Mil-Spec
Glock-18-Catacombs,$3.26,$3.28,$1.81,$1.68,$0.94,$1.00,$1.76,$1.65,$1.79,$1.82,$1.34,$1.34,$0.81,$0.78,$0.43,$0.44,$0.59,$0.58,$0.66,$0.62,Mil-Spec
SCAR-20-Grotto,$1.88,$2.00,$1.15,$1.15,$0.78,$0.68,$0.70,$0.70,$0.98,$0.78,$0.86,$0.83,$0.69,$0.70,$0.48,$0.48,$0.39,$0.37,$0.50,$0.46,Mil-Spec
M249-System-Lock,$2.41,$2.43,$1.17,$1.00,$0.64,$0.64,$0.85,$0.64,$0.61,$0.61,$0.92,$0.91,$0.59,$0.62,$0.52,$0.42,$0.36,$0.34,$0.24,$0.22,Mil-Spec
XM1014-Quicksilver,$1.95,$1.94,$1.19,$1.19,$0.93,$0.92,$0.82,$0.82,$0.80,$0.80,$0.78,$0.78,$0.69,$0.64,$0.38,$0.46,$0.36,$0.36,$0.29,$0.29,Mil-Spec
