Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Nightwish,$181.19,$175.01,$54.94,$54.66,$29.99,$28.78,$21.47,$20.84,$19.80,$19.60,$95.61,$92.09,$19.61,$20.02,$9.82,$9.78,$7.82,$7.60,$5.52,$5.49,Covert
MP9-Starlight-Protector,$73.90,$66.62,$24.50,$23.92,$9.20,$8.69,$9.72,$8.95,$8.74,$8.75,$22.19,$22.08,$7.01,$6.89,$2.94,$2.87,$3.91,$3.89,$2.22,$2.20,Covert
Dual-Berettas-Melondrama,$24.15,$23.88,$6.45,$5.88,$2.73,$2.69,$1.93,$2.08,$2.18,$2.09,$12.57,$12.39,$3.62,$3.53,$1.75,$1.54,$1.38,$1.33,$1.24,$1.33,Classified
FAMAS-Rapid-Eye-Movement,$23.80,$23.75,$6.72,$5.72,$2.68,$2.66,$2.20,$2.12,$1.99,$1.98,$12.50,$12.00,$3.40,$3.35,$1.64,$1.59,$1.35,$1.30,$1.27,$1.30,Classified
MP7-Abyssal-Apparition,$25.22,$24.74,$6.13,$5.88,$2.89,$2.71,$2.14,$2.00,$2.03,$2.02,$11.44,$12.07,$3.74,$3.36,$1.44,$1.44,$1.15,$1.36,$1.32,$1.31,Classified
M4A1-S-Night-Terror,$8.77,$8.76,$4.33,$4.26,$2.59,$2.91,$4.57,$4.43,$6.67,$6.45,$2.01,$2.07,$0.82,$0.90,$0.53,$0.55,$1.18,$1.15,$1.56,$1.57,Restricted
USP-S-Ticket-to-Hell,$7.56,$8.34,$3.29,$3.49,$1.61,$1.55,$2.22,$2.21,$0.77,$0.76,$2.08,$2.08,$0.94,$0.88,$0.40,$0.40,$0.62,$0.65,$0.27,$0.27,Restricted
PP-Bizon-Space-Cat,$3.70,$3.32,$1.39,$1.37,$0.57,$0.55,$0.55,$0.54,$0.47,$0.43,$1.52,$1.49,$0.70,$0.60,$0.27,$0.26,$0.27,$0.28,$0.26,$0.26,Restricted
G3SG1-Dream-Glade,$4.02,$4.16,$1.00,$0.97,$0.48,$0.49,$0.42,$0.47,$0.47,$0.47,$1.98,$1.73,$0.55,$0.56,$0.25,$0.25,$0.26,$0.24,$0.24,$0.25,Restricted
XM1014-Zombie-Offensive,$3.16,$3.35,$1.07,$1.07,$0.46,$0.47,$0.52,$0.52,$0.51,$0.51,$1.65,$1.49,$0.55,$0.56,$0.26,$0.24,$0.25,$0.29,$0.26,$0.23,Restricted
Five-SeveN-Scrawl,$2.02,$1.91,$0.43,$0.41,$0.15,$0.15,$0.13,$0.13,$0.16,$0.15,$0.41,$0.42,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
MAC-10-Ensnared,$1.53,$1.53,$0.31,$0.32,$0.13,$0.12,$0.14,$0.12,$0.14,$0.16,$0.41,$0.39,$0.11,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
MP5-SD-Necro-Jr,$1.06,$1.06,$0.30,$0.30,$0.14,$0.13,$0.12,$0.10,$0.15,$0.14,$0.31,$0.32,$0.11,$0.09,$0.06,$0.05,$0.06,$0.04,$0.07,$0.04,Mil-Spec
MAG-7-Foresight,$0.93,$0.77,$0.31,$0.30,$0.13,$0.13,$0.13,$0.11,$0.16,$0.14,$0.31,$0.30,$0.12,$0.10,$0.08,$0.06,$0.07,$0.04,$0.06,$0.04,Mil-Spec
Sawed-Off-Spirit-Board,$0.94,$0.89,$0.29,$0.29,$0.13,$0.12,$0.14,$0.10,$0.15,$0.14,$0.34,$0.34,$0.11,$0.10,$0.06,$0.04,$0.06,$0.04,$0.07,$0.04,Mil-Spec
P2000-Lifted-Spirits,$0.87,$0.93,$0.31,$0.29,$0.13,$0.12,$0.12,$0.10,$0.14,$0.16,$0.31,$0.31,$0.11,$0.10,$0.07,$0.04,$0.06,$0.04,$0.06,$0.04,Mil-Spec
SCAR-20-Poultrygeist,$0.76,$0.80,$0.31,$0.31,$0.13,$0.12,$0.13,$0.13,$0.15,$0.14,$0.31,$0.30,$0.12,$0.12,$0.07,$0.06,$0.06,$0.04,$0.07,$0.04,Mil-Spec
