Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Aquamarine-Revenge,$468.98,$468.97,$281.77,$227.60,$155.25,$162.72,$93.85,$91.37,$101.78,$92.71,$310.00,$307.00,$107.37,$103.55,$53.49,$51.80,$33.88,$37.53,$35.04,$33.72,Covert
AWP-Hyper-Beast,$350.14,$387.84,$186.99,$181.13,$86.49,$83.32,$92.80,$84.95,$92.00,$85.83,$233.45,$217.27,$66.60,$64.14,$35.50,$35.24,$28.63,$29.21,$28.69,$28.78,Covert
MP7-Nemesis,(NT$),($U),$46.70,$24.15,$16.27,$25.77,$10.73,$7.54,$46.70,$46.37,$24.15,$20.70,$16.27,$12.85,$25.77,$27.47,$10.73,$10.74,$7.54,$7.35,Classified
SG-553-Cyrex,$71.26,$70.15,$24.75,$22.91,$13.20,$10.74,$9.15,$9.76,$9.13,$8.65,$28.00,$28.00,$11.21,$10.17,$5.29,$5.50,$4.51,$4.24,$4.51,$4.38,Classified
CZ75-Auto-Yellow-Jacket,$47.45,$41.26,$22.74,$22.68,$12.19,$10.52,$10.01,$6.71,$11.51,$11.24,$30.90,$26.53,$10.00,$9.99,$6.00,$5.75,$4.65,$4.68,$4.19,$4.12,Classified
Negev-Loudmouth,$7.48,$0.80,$0.84,$0.78,$58.00,$58.00,$2.12,$1.88,$3.05,$2.14,$1.64,$1.63,$7.48,$7.33,$0.80,$0.82,$0.84,$0.59,$0.78,$0.79,Restricted
M4A4-Evil-Daimyo,$25.54,$26.54,$11.40,$11.48,$6.46,$6.07,$7.01,$6.99,$6.60,$6.00,$14.21,$13.55,$3.92,$3.97,$2.24,$2.15,$2.76,$2.76,$2.15,$2.07,Restricted
P2000-Handgun,$25.00,$23.05,$4.56,$4.28,$2.12,$2.12,$1.62,$1.60,$1.54,$1.61,$5.84,$5.14,$1.64,$1.64,$0.93,$0.84,$0.69,$0.66,$0.66,$0.63,Restricted
MP9-Ruby-Poison-Dart,$10.65,$8.39,$5.30,$4.62,$2.93,$2.79,$3.49,$3.04,$3.23,$2.85,$3.37,$3.23,$1.91,$1.80,$1.07,$1.06,$1.49,$1.43,$1.09,$1.00,Restricted
FAMAS-Neural-Net,$6.78,$5.37,$3.80,$3.50,$2.60,$2.59,$2.88,$2.03,$2.42,$2.44,$3.10,$3.16,$1.67,$1.56,$0.94,$0.88,$0.93,$0.91,$0.92,$0.89,Restricted
Galil-AR-Rocket-Pop,$27.71,$26.30,$6.30,$7.06,$2.59,$2.33,$1.55,$1.56,$1.38,$1.31,$10.78,$10.78,$3.15,$3.13,$1.31,$1.27,$0.65,$0.72,$0.48,$0.46,Mil-Spec
USP-S-Torque,$6.51,$6.70,$4.30,$4.39,$1.87,$1.97,$2.85,$2.86,$5.11,$4.74,$2.22,$2.12,$1.56,$1.54,$0.80,$0.91,$0.96,$0.93,$1.53,$1.48,Mil-Spec
Glock-18-Bunsen-Burner,$9.91,$9.83,$3.00,$2.85,$1.47,$1.28,$2.38,$2.12,$1.29,$1.26,$3.00,$2.89,$0.95,$0.96,$0.84,$0.83,$0.81,$0.80,$0.60,$0.55,Mil-Spec
P90-Elite-Build,$5.75,$5.75,$0.92,$0.94,$0.47,$0.46,$0.37,$0.34,$0.34,$0.32,$1.21,$1.08,$0.81,$0.85,$0.75,$0.88,$0.66,$0.60,$0.43,$0.46,Mil-Spec
Nova-Ranger,$2.32,$2.01,$0.92,$0.80,$0.46,$0.45,$0.46,$0.39,$0.38,$0.33,$0.86,$0.88,$0.69,$0.77,$0.72,$0.94,$0.57,$0.51,$0.57,$0.41,Mil-Spec
UMP-45-Riot,$1.84,$1.57,$0.89,$0.88,$0.48,$0.47,$0.66,$0.65,$0.37,$0.37,$0.78,$0.75,$0.73,$0.64,$0.87,$0.78,$0.51,$0.45,$0.46,$0.75,Mil-Spec
