Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AWP-Printstream,$849.08,$741.81,$267.99,$259.99,$146.07,$149.50,$97.00,$100.01,$98.18,$95.08,$379.75,$376.70,$159.90,$160.45,$76.38,$73.61,$47.07,$48.10,$42.45,$44.27,Covert
FAMAS-Bad-Trip,$64.32,$63.84,$20.15,$19.29,$10.00,$10.36,$8.19,$7.14,$6.87,$6.75,$23.00,$23.73,$6.58,$5.94,$2.95,$2.90,$2.36,$2.28,$1.76,$1.84,Covert
Glock-18-Shinobu,$77.55,$71.37,$28.78,$27.46,$13.12,$12.67,$10.93,$10.56,$10.60,$10.48,$28.01,$27.46,$11.05,$10.75,$5.15,$5.00,$3.96,$3.74,$3.48,$3.30,Classified
AK-47-Searing-Rage,$59.80,$61.68,$22.34,$22.38,$12.42,$11.93,$10.50,$9.74,$10.06,$9.11,$31.65,$31.65,$8.82,$9.12,$4.39,$4.43,$4.00,$3.75,$3.30,$3.22,Classified
UMP-45-KO-Factory,$36.11,$36.54,$13.84,$13.43,$6.57,$7.15,$5.48,$5.10,$5.37,$4.37,$19.92,$20.10,$8.71,$8.63,$3.88,$3.99,$3.46,$3.39,$2.64,$3.10,Classified
Desert-Eagle-Serpent-Strike,$8.00,$7.85,$3.56,$3.84,$1.30,$1.29,$2.18,$2.16,$1.24,$1.15,$2.91,$2.74,$1.30,$1.21,$0.41,$0.43,$0.54,$0.52,$0.32,$0.33,Restricted
Nova-Rising-Sun,$9.50,$9.20,$2.49,$2.50,$0.93,$0.95,$0.75,$0.73,$0.73,$0.68,$3.45,$3.32,$1.05,$1.01,$0.38,$0.39,$0.35,$0.34,$0.35,$0.27,Restricted
Zeus-x27-Tosai,$6.70,$6.05,$2.99,$2.93,$1.17,$1.17,$1.54,$1.57,$1.11,$1.11,$2.61,$2.60,$1.09,$1.07,$0.42,$0.40,$0.57,$0.48,$0.34,$0.35,Restricted
P90-Wave-Breaker,$7.24,$6.99,$2.38,$2.26,$0.87,$0.88,$0.80,$0.76,$0.77,$0.71,$3.42,$3.02,$1.05,$1.01,$0.40,$0.39,$0.35,$0.32,$0.32,$0.30,Restricted
Galil-AR-Control,$5.75,$5.75,$2.66,$2.55,$0.94,$0.90,$1.23,$1.20,$0.80,$0.77,$2.76,$2.72,$1.09,$1.06,$0.39,$0.39,$0.38,$0.39,$0.31,$0.29,Restricted
USP-S-PC-GRN,$4.98,$5.37,$1.31,$1.27,$0.49,$0.49,$0.40,$0.42,$0.38,$0.39,$0.94,$0.99,$0.19,$0.18,$0.09,$0.08,$0.08,$0.06,$0.08,$0.05,Mil-Spec
M4A4-Choppa,$4.06,$4.10,$0.60,$0.67,$0.28,$0.25,$0.14,$0.14,$0.13,$0.11,$0.64,$0.67,$0.14,$0.13,$0.08,$0.06,$0.06,$0.05,$0.06,$0.04,Mil-Spec
SSG-08-Memorial,$3.62,$3.89,$0.51,$0.52,$0.17,$0.17,$0.13,$0.12,$0.14,$0.12,$0.52,$0.47,$0.14,$0.12,$0.08,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
MP9-Nexus,$2.35,$2.31,$0.39,$0.38,$0.14,$0.14,$0.12,$0.11,$0.12,$0.10,$0.41,$0.41,$0.14,$0.13,$0.07,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
XM1014-Mockingbird,$1.54,$1.54,$0.32,$0.27,$0.14,$0.13,$0.11,$0.10,$0.11,$0.11,$0.46,$0.37,$0.13,$0.12,$0.07,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
P2000-Sure-Grip,$1.12,$1.10,$0.34,$0.32,$0.13,$0.13,$0.11,$0.10,$0.12,$0.11,$0.36,$0.35,$0.14,$0.13,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
MAG-7-Resupply,$0.94,$0.93,$0.28,$0.26,$0.13,$0.12,$0.12,$0.10,$0.11,$0.12,$0.34,$0.35,$0.12,$0.12,$0.07,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
