Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
Desert-Eagle-Printstream,$292.03,$265.88,$134.13,$120.95,$88.96,$80.70,$96.68,$96.68,$77.22,$74.85,$116.21,$114.91,$60.03,$59.97,$40.98,$40.99,$46.35,$42.49,$35.65,$34.50,Covert
AK-47-Legion-of-Anubis,$74.40,$71.27,$39.99,$41.46,$25.26,$23.78,$33.46,$28.43,$22.50,$22.21,$31.97,$29.84,$12.07,$11.49,$6.99,$6.95,$9.00,$8.73,$5.71,$5.84,Covert
Glock-18-Vogue,$29.99,$29.00,$12.77,$13.09,$6.46,$6.30,$8.78,$8.68,$5.54,$5.47,$13.26,$13.65,$5.48,$5.53,$2.96,$2.95,$3.69,$3.76,$2.60,$2.43,Classified
M4A4-Tooth-Fairy,$24.29,$24.28,$12.88,$12.29,$5.78,$5.89,$6.69,$7.45,$5.02,$4.97,$17.45,$16.40,$5.36,$5.45,$3.04,$2.81,$3.88,$3.73,$2.49,$2.41,Classified
XM1014-Entombed,$20.83,$20.78,$9.47,$10.30,$5.68,$5.72,$5.36,$5.57,$5.70,$5.11,$10.21,$10.13,$4.76,$4.74,$2.76,$2.74,$2.71,$2.50,$2.57,$2.56,Classified
MAG-7-Monster-Call,$6.04,$5.95,$1.84,$1.87,$0.80,$0.78,$0.73,$0.61,$0.53,$0.56,$2.10,$2.15,$0.82,$0.78,$0.35,$0.34,$0.31,$0.30,$0.27,$0.28,Restricted
MAC-10-Allure,$6.06,$5.32,$1.85,$1.70,$0.77,$0.74,$0.59,$0.57,$0.54,$0.54,$1.99,$1.99,$0.75,$0.74,$0.34,$0.32,$0.27,$0.27,$0.27,$0.27,Restricted
Tec-9-Brother,$5.54,$5.24,$1.76,$1.59,$0.76,$0.74,$0.58,$0.68,$0.52,$0.52,$1.97,$1.90,$0.77,$0.75,$0.34,$0.32,$0.27,$0.28,$0.27,$0.29,Restricted
Galil-AR-Connexion,$4.60,$4.58,$1.84,$1.83,$0.75,$0.72,$0.86,$0.81,$0.66,$0.66,$1.86,$1.86,$0.81,$0.79,$0.35,$0.33,$0.40,$0.40,$0.30,$0.28,Restricted
MP5-SD-Kitbash,$4.09,$4.05,$1.69,$1.72,$0.76,$0.72,$0.66,$0.67,$0.54,$0.51,$1.81,$1.79,$0.81,$0.80,$0.34,$0.32,$0.40,$0.44,$0.29,$0.27,Restricted
SSG-08-Mainframe-001,$1.75,$1.69,$0.29,$0.28,$0.14,$0.13,$0.12,$0.11,$0.12,$0.11,$0.36,$0.37,$0.12,$0.10,$0.07,$0.05,$0.06,$0.04,$0.06,$0.04,Mil-Spec
PP-Bizon-Runic,$1.58,$1.49,$0.27,$0.27,$0.12,$0.11,$0.11,$0.11,$0.12,$0.11,$0.35,$0.33,$0.11,$0.10,$0.07,$0.04,$0.07,$0.04,$0.06,$0.04,Mil-Spec
P2000-Gnarled,$1.23,$1.11,$0.25,$0.26,$0.13,$0.11,$0.12,$0.10,$0.12,$0.10,$0.37,$0.35,$0.12,$0.10,$0.07,$0.05,$0.07,$0.05,$0.07,$0.04,Mil-Spec
P250-Cassette,$0.87,$0.84,$0.34,$0.32,$0.16,$0.15,$0.18,$0.18,$0.13,$0.12,$0.30,$0.29,$0.13,$0.11,$0.07,$0.05,$0.09,$0.08,$0.07,$0.05,Mil-Spec
P90-Freight,$0.92,$0.88,$0.26,$0.24,$0.12,$0.12,$0.12,$0.10,$0.12,$0.10,$0.34,$0.33,$0.11,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
Negev-Ultralight,$0.82,$0.78,$0.26,$0.25,$0.12,$0.11,$0.13,$0.12,$0.12,$0.10,$0.30,$0.30,$0.11,$0.10,$0.07,$0.05,$0.06,$0.05,$0.06,$0.04,Mil-Spec
SG-553-Ol-Rusty,$0.70,$0.69,$0.25,$0.25,$0.13,$0.11,$0.14,$0.11,$0.12,$0.10,$0.28,$0.30,$0.11,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
