Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Buzz-Kill,$191.63,$191.41,$82.01,$70.00,$46.94,$42.55,$41.00,$43.93,$38.99,$37.53,$172.50,$169.42,$64.74,$56.40,$31.08,$31.02,$17.28,$17.25,$15.67,$14.83,Covert
SSG-08-Dragonfire,$150.13,$153.00,$88.90,$81.65,$70.00,$72.76,$79.14,$60.26,$74.00,$62.56,$57.56,$55.00,$26.31,$26.23,$21.01,$20.82,$21.04,$21.00,$20.13,$19.32,Covert
FAMAS-Mecha-Industries,$38.38,$35.21,$22.79,$21.89,$12.30,$12.18,$11.68,$11.45,$11.33,$11.23,$21.55,$21.32,$8.88,$8.82,$5.30,$5.16,$4.60,$4.54,$4.38,$4.32,Classified
Sawed-Off-Wasteland-Princess,$29.62,$27.60,$13.46,$16.07,$5.71,$5.35,$8.24,$8.47,$5.24,$4.51,$20.05,$16.06,$7.37,$7.37,$2.73,$3.05,$2.84,$2.44,$2.49,$2.49,Classified
P90-Shallow-Grave,$27.40,$29.88,$14.28,$11.53,$5.67,$5.22,$6.76,$6.37,$4.76,$4.65,$14.91,$14.00,$6.67,$5.98,$2.66,$2.64,$2.45,$2.46,$2.24,$2.17,Classified
USP-S-Cyrex,$18.70,$16.38,$9.36,$9.39,$4.27,$4.38,$5.49,$5.65,$4.38,$4.64,$6.13,$6.06,$2.35,$2.47,$1.21,$1.20,$1.85,$1.87,$1.16,$1.15,Restricted
M4A1-S-Flashback,$20.04,$20.02,$7.19,$7.18,$4.20,$4.29,$4.05,$3.76,$3.60,$4.10,$11.20,$11.08,$1.50,$1.41,$0.65,$0.65,$0.54,$0.54,$0.58,$0.56,Restricted
Dual-Berettas-Royal-Consorts,$18.90,$18.70,$4.65,$4.52,$1.63,$1.54,$1.09,$1.05,$1.05,$1.11,$4.79,$4.86,$1.63,$1.64,$0.54,$0.58,$0.49,$0.45,$0.50,$0.46,Restricted
Nova-Gila,(NT$),($U),$4.20,$2.01,$1.38,$2.39,$1.15,$0.50,$4.20,$4.00,$2.01,$1.76,$1.38,$1.06,$2.39,$2.32,$1.15,$1.14,$0.50,$0.50,Restricted
G3SG1-Stinger,$4.68,$4.74,$2.20,$2.12,$1.05,$1.05,$1.41,$1.40,$0.92,$0.81,$2.68,$2.58,$1.18,$1.30,$0.51,$0.50,$0.59,$0.50,$0.43,$0.45,Restricted
Glock-18-Ironwork,$10.29,$10.50,$2.00,$2.17,$0.99,$0.94,$0.57,$0.63,$0.57,$0.59,$2.39,$2.48,$0.47,$0.46,$0.41,$0.44,$0.28,$0.29,$0.32,$0.31,Mil-Spec
MP7-Cirrus,$5.09,$5.08,$1.77,$1.77,$0.77,$0.71,$1.32,$1.26,$0.69,$0.68,$1.06,$1.14,$0.49,$0.49,$0.41,$0.47,$0.41,$0.41,$0.30,$0.31,Mil-Spec
P2000-Turf,$5.86,$5.86,$1.15,$1.11,$0.43,$0.45,$0.36,$0.35,$0.36,$0.31,$1.39,$1.38,$0.49,$0.53,$0.38,$0.49,$0.32,$0.30,$0.30,$0.29,Mil-Spec
Galil-AR-Black-Sand,$4.19,$4.20,$0.80,$0.86,$0.43,$0.45,$0.35,$0.32,$0.37,$0.35,$0.78,$0.75,$0.40,$0.39,$0.40,$0.38,$0.31,$0.30,$0.24,$0.22,Mil-Spec
MAG-7-Sonar,$0.49,$0.58,$0.35,$0.30,$2.13,$4.25,$0.85,$0.84,$0.51,$0.43,$0.34,$0.29,$0.49,$0.53,$0.58,$0.45,$0.35,$0.38,$0.30,$0.30,Mil-Spec
MP9-Sand-Scale,$0.53,$0.34,$0.51,$0.26,$1.96,$1.98,$0.75,$0.71,$0.42,$0.39,$0.52,$0.50,$0.53,$0.52,$0.34,$0.38,$0.51,$0.43,$0.26,$0.26,Mil-Spec
CZ75-Auto-Polymer,$1.73,$1.61,$0.75,$0.89,$0.42,$0.41,$0.47,$0.46,$0.42,$0.49,$0.52,$0.56,$0.60,$0.45,$0.39,$0.44,$0.41,$0.37,$0.34,$0.27,Mil-Spec
