Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Neon-Rider,$554.19,$553.95,$287.16,$228.96,$129.56,$140.22,$126.34,$126.20,$121.98,$115.39,$322.26,$312.23,$114.39,$112.73,$54.42,$56.00,$59.53,$53.56,$47.87,$47.29,Covert
Desert-Eagle-Code-Red,$314.83,$285.00,$129.74,$127.36,$79.29,$72.69,$68.10,$64.05,$68.92,$68.81,$174.68,$115.00,$46.75,$45.51,$27.60,$27.86,$23.62,$23.74,$23.34,$22.65,Covert
M4A1-S-Nightmare,$205.00,$180.00,$79.35,$70.00,$33.00,$32.73,$25.27,$24.91,$25.49,$24.42,$88.25,$80.62,$28.06,$27.56,$14.12,$13.71,$10.50,$10.48,$9.35,$9.13,Classified
Sawed-Off-Devourer,$48.89,$48.89,$24.50,$20.30,$14.39,$12.92,$14.00,$12.80,$14.31,$13.51,$21.57,$20.70,$9.79,$9.78,$5.17,$4.91,$6.30,$5.72,$4.63,$4.31,Classified
FAMAS-Eye-of-Athena,$48.91,$46.00,$20.30,$26.00,$11.30,$10.87,$12.79,$12.87,$10.38,$9.48,$25.00,$24.64,$10.98,$10.29,$5.47,$5.32,$5.32,$4.30,$4.57,$4.67,Classified
AWP-PAW,$22.19,$22.84,$11.67,$11.46,$6.45,$6.46,$7.38,$7.68,$6.35,$6.16,$6.92,$6.21,$3.71,$3.50,$2.10,$1.94,$2.36,$2.32,$1.75,$1.75,Restricted
MP7-Powercore,$16.36,$12.93,$4.44,$4.48,$2.39,$2.10,$2.47,$2.60,$1.69,$1.58,$6.14,$5.37,$2.10,$2.12,$0.94,$0.90,$0.82,$0.89,$0.82,$0.78,Restricted
Nova-Toy-Soldier,$14.95,$14.02,$5.31,$4.46,$2.12,$2.12,$1.88,$1.83,$1.92,$1.83,$5.63,$5.57,$2.13,$2.10,$0.89,$0.90,$0.73,$0.73,$0.69,$0.66,Restricted
CZ75-Auto-Eco,$13.28,$11.55,$4.45,$4.10,$2.12,$2.15,$1.75,$1.75,$1.62,$1.67,$5.65,$5.14,$2.14,$1.92,$0.96,$0.95,$0.77,$0.74,$0.72,$0.61,Restricted
G3SG1-High-Seas,$10.18,$10.12,$5.25,$4.61,$2.08,$2.08,$1.87,$1.68,$1.63,$1.62,$5.36,$5.45,$2.00,$2.00,$0.89,$0.90,$0.99,$0.97,$0.80,$0.78,Restricted
Tec-9-Snek-9,$7.05,$7.93,$1.66,$1.76,$0.74,$0.69,$0.46,$0.47,$0.41,$0.44,$1.79,$1.76,$0.46,$0.43,$0.38,$0.36,$0.31,$0.32,$0.31,$0.28,Mil-Spec
P90-Traction,$6.78,$6.62,$1.31,$1.27,$0.60,$0.51,$0.40,$0.41,$0.43,$0.42,$1.55,$1.61,$0.43,$0.42,$0.42,$0.45,$0.34,$0.42,$0.28,$0.28,Mil-Spec
Glock-18-Warhawk,$5.45,$5.78,$1.26,$1.32,$0.53,$0.60,$0.50,$0.50,$0.43,$0.50,$1.32,$1.36,$0.43,$0.41,$0.38,$0.48,$0.30,$0.28,$0.30,$0.30,Mil-Spec
MP9-Capillary,$2.93,$3.31,$1.62,$1.85,$0.76,$0.75,$2.26,$2.01,$0.49,$0.48,$0.96,$0.96,$0.52,$0.49,$0.65,$0.39,$0.31,$0.30,$0.28,$0.27,Mil-Spec
Dual-Berettas-Shred,$1.73,$1.69,$1.10,$1.05,$0.50,$0.45,$0.61,$0.61,$0.47,$0.41,$0.59,$0.66,$0.37,$0.40,$0.39,$0.40,$0.30,$0.29,$0.30,$0.25,Mil-Spec
R8-Revolver-Survivalist,$1.62,$1.61,$0.89,$0.87,$0.40,$0.41,$0.70,$0.37,$0.36,$0.30,$0.55,$0.59,$0.38,$0.38,$0.34,$0.40,$0.36,$0.25,$0.24,$0.28,Mil-Spec
AUG-Amber-Slipstream,$1.73,$1.63,$0.99,$0.94,$0.42,$0.41,$0.41,$0.39,$0.34,$0.30,$0.55,$0.60,$0.39,$0.36,$0.38,$0.39,$0.36,$0.35,$0.27,$0.21,Mil-Spec
