Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Desert-Strike,$95.00,$81.80,$32.73,$30.60,$17.30,$16.14,$32.12,$25.42,$20.72,$18.76,$82.88,$79.51,$17.02,$17.68,$6.21,$7.19,$8.13,$7.96,$6.23,$5.76,Covert
AK-47-Vulcan,$255.01,$1,581.83,$1,574.65,$623.80,$648.49,$564.35,$479.07,$326.80,$302.24,$1,454.71,$1,298.09,$746.98,$710.43,$372.53,$347.03,$261.34,Covert
USP-S-Caiman,$97.34,$68.28,$59.14,$62.75,$204.50,$151.00,$140.00,$134.22,$110.00,$100.56,$96.33,$78.82,$97.34,$85.00,$68.28,$65.69,$59.14,$56.29,$62.75,$53.44,Classified
M4A1-S-Atomic-Alloy,$260.61,$230.00,$134.22,$140.27,$96.67,$111.00,$88.45,$56.11,$90.40,$83.15,$169.42,$169.42,$83.29,$79.07,$50.99,$48.99,$46.29,$44.48,$45.39,$38.99,Classified
SCAR-20-Cyrex,$204.50,$106.65,$135.82,$134.37,$115.00,$84.26,$89.88,$67.48,$92.08,$80.74,$91.24,$81.85,$66.63,$61.50,$54.56,$46.70,$67.10,$35.19,$52.55,$43.78,Classified
MAC-10-Tatter,$25.54,$21.40,$21.00,$20.31,$15.75,$13.90,$17.61,$15.92,$50.00,$17.93,$16.38,$16.36,$11.66,$11.37,$9.78,$9.36,$10.40,$9.20,$10.25,$7.88,Restricted
PP-Bizon-Antique,$19.74,$21.04,$18.46,$16.24,$15.88,$15.98,$17.21,$13.34,$34.50,$14.39,$16.80,$14.95,$11.39,$11.07,$9.72,$9.66,$14.20,$12.91,$15.33,$12.16,Restricted
XM1014-Heaven-Guard,$31.13,$29.40,$19.00,$17.45,$16.10,$16.10,$17.42,$16.00,$14.63,$14.01,$17.25,$17.19,$11.61,$11.57,$10.06,$9.10,$11.67,$9.94,$10.64,$9.08,Restricted
AUG-Torque,$24.05,$21.12,$18.69,$18.40,$15.99,$15.45,$17.52,$11.75,$15.65,$15.65,$16.65,$16.66,$12.74,$12.66,$10.67,$10.48,$10.55,$10.44,$12.21,$11.17,Restricted
P90-Module,$5.76,$5.12,$3.93,$2.99,$2.46,$2.77,$2.14,$1.99,$3.93,$3.89,$2.99,$2.83,$2.46,$2.41,$2.77,$2.68,$2.14,$2.02,$1.99,$2.00,Mil-Spec
P2000-Pulse,$5.15,$3.79,$3.18,$3.22,$2.10,$2.02,$2.87,$1.66,$2.30,$1.79,$2.68,$2.67,$2.21,$2.06,$1.90,$1.80,$1.80,$1.52,$2.00,$1.63,Mil-Spec
CZ75-Auto-Twist,$5.23,$5.03,$2.81,$2.58,$2.14,$1.87,$2.19,$2.16,$1.92,$1.77,$3.19,$3.05,$2.26,$2.11,$1.92,$1.91,$1.77,$1.77,$1.85,$1.48,Mil-Spec
Tec-9-Isaac,$55.58,$52.59,$11.42,$11.39,$5.48,$5.26,$3.48,$3.49,$3.36,$3.30,$21.25,$20.97,$6.56,$6.15,$4.42,$4.16,$3.05,$3.07,$2.45,$2.44,Mil-Spec
Galil-AR-Kami,$10.75,$10.76,$4.29,$4.10,$2.58,$2.49,$5.78,$5.34,$2.22,$2.18,$5.69,$5.45,$3.30,$3.27,$2.80,$2.67,$2.47,$2.48,$3.03,$2.73,Mil-Spec
SSG-08-Slashed,$4.76,$4.19,$2.39,$2.12,$2.13,$2.24,$1.95,$1.52,$2.39,$2.39,$2.12,$1.93,$2.13,$1.92,$2.24,$1.96,$1.95,$1.89,$1.52,$1.58,Mil-Spec
