Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Inheritance,$741.15,$655.68,$334.60,$316.33,$181.12,$180.00,$184.49,$153.73,$168.98,$147.79,$281.03,$274.84,$164.99,$160.44,$86.76,$85.00,$80.62,$74.82,$68.47,$68.12,Covert
AWP-Chrome-Cannon,$385.87,$385.86,$112.53,$117.51,$66.38,$66.38,$47.93,$44.93,$48.30,$45.48,$140.30,$138.09,$53.74,$53.20,$29.94,$29.19,$21.50,$20.82,$16.81,$17.06,Covert
M4A1-S-Black-Lotus,$79.24,$81.50,$42.00,$41.89,$29.97,$29.37,$31.90,$31.52,$29.80,$29.06,$29.27,$28.10,$15.09,$15.19,$10.96,$10.50,$13.04,$12.84,$11.00,$10.77,Classified
USP-S-Jawbreaker,$74.07,$75.06,$29.91,$30.19,$16.10,$17.24,$12.65,$12.59,$12.34,$11.38,$28.75,$28.38,$12.07,$11.69,$6.40,$6.70,$5.75,$5.26,$4.60,$4.79,Classified
Zeus-x27-Olympus,$48.31,$47.91,$26.45,$26.07,$14.77,$14.03,$13.65,$9.36,$12.00,$12.38,$20.93,$20.79,$10.87,$10.46,$6.23,$6.00,$5.60,$5.96,$4.50,$4.87,Classified
M4A4-Etch-Lord,$9.66,$10.29,$4.18,$4.11,$2.00,$2.07,$1.90,$1.63,$1.79,$1.77,$6.01,$5.67,$1.45,$1.42,$0.75,$0.75,$0.69,$0.66,$0.66,$0.64,Restricted
Glock-18-Block-18,$8.07,$8.05,$4.69,$4.69,$2.24,$2.12,$2.68,$2.66,$1.85,$1.73,$2.87,$2.76,$1.57,$1.52,$0.83,$0.82,$0.81,$0.87,$0.75,$0.71,Restricted
Five-SeveN-Hybrid,$7.83,$7.81,$3.52,$3.50,$1.85,$1.81,$1.61,$1.46,$1.57,$1.49,$3.29,$2.94,$1.40,$1.40,$0.74,$0.73,$0.69,$0.66,$0.63,$0.64,Restricted
MP7-Just-Smile,$7.10,$6.44,$3.46,$3.39,$1.97,$1.95,$1.64,$1.58,$1.56,$1.53,$3.10,$3.03,$1.39,$1.39,$0.74,$0.74,$0.66,$0.67,$0.69,$0.63,Restricted
Sawed-Off-Analog-Input,$6.37,$6.45,$3.45,$3.39,$1.99,$1.93,$1.68,$1.65,$1.65,$1.38,$2.70,$2.68,$1.46,$1.46,$0.83,$0.79,$0.71,$0.66,$0.65,$0.66,Restricted
MAC-10-Light-Box,$3.80,$3.50,$0.66,$0.64,$0.24,$0.24,$0.17,$0.16,$0.15,$0.14,$0.60,$0.61,$0.17,$0.16,$0.11,$0.09,$0.08,$0.06,$0.08,$0.06,Mil-Spec
SSG-08-Dezastre,$2.21,$2.07,$0.48,$0.48,$0.23,$0.22,$0.17,$0.16,$0.16,$0.14,$0.37,$0.38,$0.17,$0.16,$0.10,$0.09,$0.09,$0.06,$0.08,$0.06,Mil-Spec
XM1014-Irezumi,$1.22,$1.17,$0.50,$0.49,$0.23,$0.22,$0.26,$0.24,$0.15,$0.15,$0.36,$0.33,$0.18,$0.17,$0.10,$0.08,$0.10,$0.10,$0.08,$0.10,Mil-Spec
Tec-9-Slag,$1.31,$1.31,$0.49,$0.46,$0.23,$0.21,$0.17,$0.16,$0.15,$0.14,$0.38,$0.37,$0.17,$0.16,$0.10,$0.09,$0.08,$0.06,$0.08,$0.05,Mil-Spec
UMP-45-Motorized,$1.11,$1.07,$0.50,$0.46,$0.23,$0.21,$0.19,$0.19,$0.16,$0.14,$0.38,$0.33,$0.18,$0.17,$0.11,$0.09,$0.11,$0.08,$0.08,$0.06,Mil-Spec
Dual-Berettas-Hideout,$0.86,$0.95,$0.49,$0.48,$0.24,$0.23,$0.25,$0.24,$0.18,$0.16,$0.34,$0.33,$0.18,$0.17,$0.10,$0.08,$0.11,$0.09,$0.08,$0.07,Mil-Spec
Nova-Dark-Sigil,$0.88,$0.89,$0.47,$0.48,$0.23,$0.22,$0.25,$0.24,$0.18,$0.18,$0.32,$0.31,$0.18,$0.17,$0.10,$0.08,$0.10,$0.07,$0.08,$0.05,Mil-Spec
