Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Fire-Serpent,$1359.49,$1259.87,$1054.89,$1100.59,$895.49,$500.45,$280.00,$291.68,$212.42,$500.45,$420.00,$280.00,$280.01,$1647.88,$923.35,$1725.00,$1647.88,$1496.72,$923.35,$941.56,Covert
Desert-Eagle-Golden-Koi,$500.45,$280.00,$291.68,$212.42,$500.45,$420.00,$280.00,$280.01,$500.45,$280.00,$291.68,$212.42,$500.45,$420.00,$280.00,$280.01,$291.68,$294.02,$212.42,$206.44,Classified
P90-Emerald-Dragon,$154.06,$180.00,$1,247.90,$353.87,$262.45,$300.00,$300.01,$993.19,$287.90,$200.28,$875.39,$304.70,$161.39,$161.35,$150.00,$150.00,$153.76,$180.00,$101.62,Classified
AWP-Graphite,$154.06,$180.00,$1247.90,$353.87,$262.45,$300.00,$300.01,$993.19,$554.77,$470.62,$220.61,$210.73,$554.77,$464.98,$470.62,$387.32,$220.61,$217.21,$210.73,$350.01,Restricted
P2000-Ocean-Foam,$154.06,$180.00,$1247.90,$353.87,$262.45,$300.00,$300.01,$993.19,$560.21,$405.29,$220.87,$190.00,$560.21,$400.70,$405.29,$220.87,$184.24,$190.00,$209.93,Restricted
M4A4-Zirka,$86.37,$39.00,$33.88,$45.97,$225.43,$122.74,$71.50,$70.10,$54.40,$47.32,$254.74,$57.00,$86.37,$57.22,$39.00,$41.48,$33.88,$31.28,$45.97,$30.90,Restricted
USP-S-Overgrowth,$29.34,$389.68,$83.80,$90.08,$57.61,$50.23,$72.40,$48.79,$49.45,$45.04,$174.28,$78.46,$45.26,$50.37,$32.70,$34.01,$30.50,$29.05,$29.34,$28.41,Mil-Spec
MAC-10-Graven,$284.05,$132.32,$75.86,$70.01,$56.50,$44.21,$234.84,$44.01,$52.53,$34.95,$70.04,$41.00,$44.58,$29.40,$32.78,$29.13,$36.82,$37.69,$37.50,$23.00,Mil-Spec
M4A1-S-Bright-Water,$284.05,$132.32,$75.86,$70.01,$56.50,$44.21,$234.84,$44.01,$108.74,$107.37,$67.19,$47.39,$108.74,$101.33,$107.37,$95.33,$67.19,$66.84,$47.39,$45.35,Mil-Spec
Galil-AR-Shattered,$196.16,$199.98,$16.24,$15.95,$8.42,$8.30,$9.28,$7.85,$7.76,$7.52,$33.67,$20.15,$10.15,$10.07,$9.20,$9.05,$9.20,$9.20,$9.72,$8.64,Mil-Spec
SG-553-Wave-Spray,$89.79,$59.24,$10.00,$9.49,$7.88,$7.95,$7.61,$6.72,$6.97,$36.28,$19.44,$18.81,$10.87,$10.31,$9.66,$9.07,$9.34,$7.15,$9.31,$9.11,Mil-Spec
Nova-Tempest,$68.28,$80.82,$43.25,$9.24,$9.77,$20.31,$9.89,$10.04,$43.25,$38.92,$9.24,$9.20,$9.77,$9.36,$20.31,$18.82,$9.89,$9.92,$10.04,$9.84,Mil-Spec
Dual-Berettas-Black-Limba,$68.28,$80.82,$10.73,$7.97,$8.18,$7.50,$11.52,$6.67,$8.09,$9.39,$18.76,$15.76,$10.26,$8.05,$8.48,$9.14,$9.35,$6.95,$10.61,$9.16,Mil-Spec
UMP-45-Bone-Pile,$68.28,$80.82,$42.43,$8.76,$8.17,$18.76,$10.23,$9.71,$42.43,$35.00,$8.76,$7.01,$8.17,$8.13,$18.76,$20.32,$10.23,$10.13,$9.71,$5.75,Mil-Spec
G3SG1-Demeter,$47.00,$35.78,$8.94,$9.25,$7.86,$7.16,$7.45,$6.44,$8.06,$7.79,$20.44,$14.08,$9.91,$8.06,$9.27,$9.20,$9.26,$8.75,$9.20,$9.10,Mil-Spec
