Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Cyrex,$264.50,$264.50,$167.91,$162.67,$98.01,$94.90,$84.12,$80.10,$93.08,$79.13,$130.87,$130.87,$55.03,$53.49,$34.35,$34.44,$32.10,$31.35,$31.69,$31.09,Covert
P90-Asiimov,$251.96,$226.58,$85.63,$77.80,$41.70,$38.32,$39.57,$31.27,$37.57,$37.21,$53.15,$48.31,$19.60,$19.74,$9.38,$9.36,$8.53,$8.38,$8.37,$8.37,Covert
Glock-18-Water-Elemental,$80.53,$92.00,$41.99,$42.00,$23.02,$22.89,$36.27,$25.10,$21.25,$19.89,$30.40,$29.35,$10.67,$10.78,$5.88,$5.36,$8.90,$8.10,$4.91,$4.90,Classified
Desert-Eagle-Conspiracy,$45.49,$42.59,$38.00,$24.78,$21.78,$18.60,$10.16,$8.51,$38.00,$38.42,$24.78,$24.49,$21.78,$21.36,$18.60,$18.36,$10.16,$10.33,$8.51,$8.10,Classified
Five-SeveN-Fowl-Play,$33.88,$39.00,$18.53,$15.87,$8.98,$7.49,$7.50,$7.05,$7.31,$6.79,$18.32,$16.64,$7.61,$7.56,$3.50,$3.36,$2.88,$2.87,$3.36,$3.12,Classified
Nova-Koi,$10.49,$9.24,$7.24,$3.33,$3.75,$2.35,$1.61,$0.97,$7.24,$7.05,$3.33,$3.50,$3.75,$3.70,$2.35,$2.41,$1.61,$1.49,$0.97,$1.07,Restricted
P250-Supernova,$2.46,$1.32,$1.00,$1.28,$7.05,$6.51,$4.03,$3.70,$2.58,$2.59,$3.30,$2.77,$2.46,$2.76,$1.32,$1.29,$1.00,$0.89,$1.28,$1.12,Restricted
CZ75-Auto-Tigris,$9.06,$8.60,$4.00,$4.10,$2.32,$2.16,$1.80,$1.38,$1.57,$1.50,$2.88,$2.99,$1.22,$1.20,$0.80,$0.80,$0.71,$0.67,$0.77,$0.73,Restricted
PP-Bizon-Osiris,$6.70,$6.70,$3.93,$3.92,$2.71,$2.49,$2.30,$2.12,$2.41,$2.29,$2.49,$2.46,$1.27,$1.23,$0.86,$0.84,$0.70,$0.70,$0.80,$1.28,Restricted
SSG-08-Abyss,$20.58,$20.97,$3.59,$3.55,$1.30,$1.26,$0.74,$0.73,$0.55,$0.57,$4.80,$4.93,$0.80,$0.86,$0.31,$0.30,$0.17,$0.16,$0.14,$0.14,Mil-Spec
P2000-Ivory,$4.60,$4.08,$0.69,$0.69,$0.40,$0.37,$0.28,$0.30,$0.31,$0.29,$0.98,$0.99,$0.26,$0.23,$0.15,$0.13,$0.12,$0.10,$0.13,$0.10,Mil-Spec
UMP-45-Labyrinth,$0.55,$0.24,$0.14,$0.28,$1.61,$1.59,$0.70,$0.68,$0.39,$0.38,$0.65,$0.50,$0.55,$0.57,$0.24,$0.26,$0.14,$0.13,$0.28,$0.28,Mil-Spec
MP7-Urban-Hazard,$1.15,$1.24,$0.75,$0.69,$0.47,$0.49,$0.52,$0.52,$0.60,$0.49,$0.43,$0.46,$0.23,$0.23,$0.15,$0.13,$0.17,$0.15,$0.15,$0.15,Mil-Spec
Negev-Desert-Strike,$1.15,$1.09,$0.65,$0.71,$0.46,$0.43,$0.34,$0.35,$0.31,$0.29,$0.40,$0.43,$0.24,$0.20,$0.14,$0.13,$0.14,$0.09,$0.14,$0.13,Mil-Spec
