Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AWP-Oni-Taiji,$1644.91,$1067.17,$981.50,$980.00,$545.80,$471.38,$789.77,$357.26,$391.00,$287.50,$685.41,$618.10,$468.86,$460.87,$337.69,$350.00,$236.53,$209.69,$254.77,$206.91,Covert
Five-SeveN-Hyper-Beast,$746.95,$484.23,$300.00,$279.91,$240.52,$149.50,$144.81,$144.81,$178.80,$135.82,$191.78,$175.61,$77.62,$69.69,$44.00,$31.53,$41.49,$38.91,$38.53,$37.00,Covert
M4A4-Hellfire,$299.35,$251.04,$169.24,$143.13,$107.59,$99.94,$150.13,$97.78,$126.50,$91.73,$220.00,$211.38,$100.66,$81.80,$57.93,$57.63,$65.52,$53.13,$55.58,$52.29,Classified
Galil-AR-Sugar-Rush,$236.53,$200.99,$308.12,$172.78,$128.87,$90.66,$125.18,$94.45,$116.91,$94.47,$105.05,$104.24,$71.27,$60.67,$57.93,$50.69,$56.81,$52.59,$53.55,$53.70,Classified
Dual-Berettas-Cobra-Strike,$42.55,$257.06,$155.28,$149.39,$150.00,$149.39,$95.50,$93.81,$119.98,$97.45,$90.17,$77.00,$57.40,$51.25,$50.62,$46.92,$47.03,$42.62,$42.55,$41.72,Classified
AK-47-Orbit-Mk01,$147.85,$135.71,$100.39,$99.32,$66.63,$66.56,$87.77,$58.79,$75.96,$56.54,$85.00,$82.94,$35.53,$33.23,$28.92,$28.72,$28.63,$28.13,$25.13,$24.54,Restricted
P2000-Woodsman,$56.00,$34.74,$29.53,$20.70,$15.91,$16.55,$230.00,$19.23,$15.24,$14.30,$18.60,$18.49,$14.62,$11.25,$9.00,$7.55,$7.39,$6.25,$7.72,$7.38,Restricted
P90-Death-Grip,$58.23,$60.01,$25.73,$26.72,$18.00,$15.26,$14.89,$11.51,$14.31,$10.07,$19.80,$17.17,$12.13,$12.63,$8.81,$9.10,$7.63,$6.05,$7.25,$7.63,Restricted
P250-Red-Rock,$42.43,$28.72,$28.00,$19.80,$18.71,$13.94,$13.89,$13.90,$14.95,$13.68,$19.45,$14.37,$11.68,$10.63,$10.07,$7.03,$7.16,$6.25,$6.73,$4.20,Restricted
SSG-08-Deaths-Head,$27.95,$25.29,$24.99,$26.16,$19.86,$18.61,$18.70,$16.34,$20.02,$18.75,$16.27,$15.52,$12.19,$12.00,$10.00,$9.63,$9.37,$10.01,$11.66,$10.70,Restricted
USP-S-Blueprint,$228.97,$170.00,$45.02,$39.82,$17.08,$16.57,$15.01,$13.87,$14.63,$14.26,$47.99,$44.59,$12.44,$11.47,$4.98,$5.07,$4.68,$4.69,$3.99,$3.88,Mil-Spec
M4A1-S-Briefing,$66.62,$66.49,$24.45,$23.82,$11.98,$12.19,$22.05,$18.81,$11.86,$11.24,$28.21,$28.14,$7.39,$7.26,$3.75,$3.90,$6.23,$6.25,$3.23,$3.10,Mil-Spec
Tec-9-Cut-Out,$34.96,$36.38,$10.26,$8.22,$7.16,$7.00,$5.36,$4.10,$6.13,$6.27,$11.15,$9.67,$4.67,$4.72,$3.23,$2.99,$2.93,$2.74,$3.12,$1.87,Mil-Spec
MAC-10-Aloha,$12.56,$12.59,$11.42,$6.65,$5.60,$6.47,$9.39,$8.05,$5.93,$5.03,$4.79,$4.81,$4.14,$3.80,$2.79,$2.50,$2.68,$2.35,$2.71,$2.46,Mil-Spec
FAMAS-Macabre,$15.08,$15.09,$9.35,$4.01,$4.68,$4.68,$6.87,$5.66,$6.63,$4.37,$4.19,$4.20,$3.96,$3.32,$2.87,$1.84,$3.01,$2.25,$3.06,$2.12,Mil-Spec
MAG-7-Hard-Water,$4.63,$3.69,$2.99,$3.31,$10.50,$10.47,$8.75,$7.56,$5.56,$5.15,$5.11,$4.57,$4.63,$3.54,$3.69,$3.69,$2.99,$2.85,$3.31,$2.90,Mil-Spec
UMP-45-Metal-Flowers,$11.35,$9.80,$8.00,$9.05,$5.60,$4.99,$6.93,$4.75,$5.10,$4.75,$4.51,$4.50,$4.23,$4.18,$2.76,$2.61,$3.00,$3.20,$2.53,$2.70,Mil-Spec
