Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AWP-Asiimov,$429.57,$402.49,$354.23,$276.00,$186.62,$177.42,$129.46,$94.00,$354.23,$323.73,$276.00,$270.25,$186.62,$167.96,$177.42,$176.33,$129.46,$128.84,$94.00,$91.09,Covert
AUG-Chameleon,$29.41,$28.75,$13.30,$13.27,$9.96,$9.69,$13.14,$12.77,$14.00,$12.67,$17.06,$16.76,$4.26,$4.37,$3.04,$3.01,$3.45,$3.25,$3.62,$3.36,Covert
AK-47-Redline,$345.73,$50.23,$38.84,$34.89,$598.25,$537.47,$102.84,$107.23,$91.14,$91.13,$73.25,$72.56,$345.73,$346.19,$50.23,$50.24,$38.84,$37.91,$34.89,$31.85,Classified
Nova-Antique,$39.42,$37.49,$35.02,$20.58,$34.50,$14.92,$14.00,$12.49,$35.02,$34.84,$20.58,$20.65,$34.50,$27.31,$14.92,$15.46,$14.00,$12.85,$12.49,$12.69,Classified
P90-Trigon,$12.68,$11.15,$10.01,$13.52,$23.19,$37.40,$18.18,$16.42,$21.17,$17.28,$27.77,$24.11,$12.68,$12.62,$11.15,$10.54,$10.01,$10.50,$13.52,$13.80,Classified
USP-S-Guardian,$21.57,$18.59,$25.44,$15.01,$9.59,$14.54,$9.45,$4.86,$25.44,$24.52,$15.01,$14.63,$9.59,$9.57,$14.54,$14.34,$9.45,$9.45,$4.86,$4.82,Restricted
MAC-10-Heat,$37.64,$33.05,$22.34,$22.35,$7.59,$7.00,$6.44,$6.75,$5.76,$5.61,$16.27,$14.31,$8.53,$8.81,$4.68,$4.38,$3.83,$3.10,$3.07,$2.82,Restricted
SG-553-Pulse,$9.80,$4.39,$3.73,$3.19,$18.48,$16.90,$6.59,$6.67,$6.15,$5.54,$6.10,$5.32,$9.80,$9.90,$4.39,$4.27,$3.73,$3.63,$3.19,$3.00,Restricted
FAMAS-Sergeant,$10.78,$4.29,$3.68,$2.95,$16.13,$18.80,$7.45,$7.41,$6.87,$5.76,$5.56,$5.26,$10.78,$10.48,$4.29,$4.17,$3.68,$2.95,$2.95,$2.80,Restricted
Tec-9-Sandstorm,$3.36,$0.69,$0.94,$0.54,$6.41,$6.41,$1.21,$1.14,$1.51,$1.55,$1.00,$0.99,$3.36,$3.35,$0.69,$0.72,$0.94,$0.87,$0.54,$0.62,Mil-Spec
Negev-Terrain,$1.30,$0.87,$0.65,$0.59,$2.22,$2.27,$1.64,$1.58,$1.06,$1.04,$1.01,$1.00,$1.30,$1.20,$0.87,$0.82,$0.65,$0.65,$0.59,$0.53,Mil-Spec
MAG-7-Heaven-Guard,$1.30,$0.83,$0.69,$0.61,$2.14,$2.12,$1.52,$1.52,$0.94,$0.89,$1.29,$1.25,$1.30,$1.24,$0.83,$0.78,$0.69,$0.66,$0.61,$0.59,Mil-Spec
UMP-45-Corporal,$3.07,$2.57,$1.53,$1.49,$0.92,$0.90,$0.98,$0.93,$0.81,$0.63,$1.43,$1.36,$0.86,$0.86,$0.66,$0.63,$0.58,$0.62,$0.58,$0.48,Mil-Spec
