Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Leet-Museo,$584.24,$478.10,$286.25,$299.39,$154.01,$156.44,$134.98,$135.67,$120.00,$106.88,$488.90,$479.06,$242.99,$242.17,$122.37,$123.87,$63.05,$58.50,$58.30,$51.68,Covert
Desert-Eagle-Ocean-Drive,$671.10,$500.00,$189.56,$181.05,$87.64,$74.26,$66.61,$67.20,$67.56,$64.26,$290.63,$233.70,$69.29,$67.28,$29.17,$28.87,$21.46,$21.04,$20.49,$20.15,Covert
SSG-08-Turbo-Peek,$105.17,$92.00,$58.76,$58.10,$28.23,$27.15,$27.20,$25.02,$25.57,$21.58,$46.75,$44.04,$22.21,$21.80,$11.75,$11.54,$12.45,$10.76,$10.50,$9.90,Classified
Glock-18-Snack-Attack,$130.87,$106.31,$44.68,$41.82,$19.02,$19.30,$15.01,$13.99,$14.26,$13.75,$60.40,$60.20,$22.05,$20.50,$10.17,$10.26,$7.51,$6.75,$5.88,$6.15,Classified
MAC-10-Toybox,$87.64,$67.78,$44.35,$35.99,$14.62,$13.75,$15.07,$14.50,$14.39,$13.75,$45.58,$40.25,$20.06,$20.01,$10.49,$10.00,$7.27,$6.83,$6.78,$6.63,Classified
M4A4-Spider-Lily,$133.10,$122.87,$37.95,$37.65,$13.68,$14.07,$10.50,$10.69,$9.98,$9.85,$72.38,$71.37,$14.49,$14.51,$6.50,$6.66,$4.69,$4.71,$3.84,$3.64,Restricted
MP9-Mount-Fuji,$51.75,$45.21,$27.00,$26.81,$13.00,$13.93,$14.75,$12.51,$11.50,$10.62,$19.46,$19.66,$11.15,$11.66,$6.45,$6.24,$5.49,$5.24,$4.98,$4.99,Restricted
Five-SeveN-Boost-Protocol,$11.04,$5.17,$3.53,$2.88,$23.00,$21.47,$14.12,$12.11,$6.24,$6.13,$7.26,$7.30,$11.04,$11.62,$5.17,$5.17,$3.53,$3.32,$2.88,$2.73,Restricted
FAMAS-ZX-Spectron,$37.39,$30.38,$12.45,$12.00,$6.15,$6.15,$4.69,$4.20,$4.30,$4.37,$14.00,$13.52,$4.52,$4.34,$2.45,$2.39,$1.75,$1.70,$1.72,$1.71,Restricted
MAG-7-BI83-Spectrum,$13.91,$11.16,$8.18,$5.17,$3.28,$2.88,$4.20,$3.59,$3.15,$2.78,$5.22,$6.01,$2.87,$2.86,$1.61,$1.51,$1.57,$1.47,$1.39,$1.37,Restricted
USP-S-Black-Lotus,$60.00,$59.23,$13.22,$13.22,$6.99,$6.88,$5.54,$5.53,$3.75,$3.68,$13.70,$13.43,$3.74,$3.62,$2.21,$1.92,$1.54,$1.56,$1.12,$1.15,Mil-Spec
XM1014-Watchdog,$37.17,$37.17,$7.98,$7.45,$4.17,$4.10,$2.47,$2.18,$2.37,$2.33,$6.63,$6.72,$3.13,$2.93,$1.86,$1.63,$1.26,$1.23,$1.15,$1.12,Mil-Spec
Dual-Berettas-Tread,$13.43,$9.40,$3.96,$4.18,$1.87,$2.23,$1.15,$1.13,$1.06,$0.88,$3.71,$3.62,$2.34,$2.37,$1.19,$1.16,$1.68,$1.46,$1.10,$1.13,Mil-Spec
PP-Bizon-Lumen,$9.57,$8.74,$4.68,$4.56,$1.91,$1.82,$1.50,$1.48,$1.11,$1.00,$3.35,$2.73,$2.32,$2.24,$1.22,$1.19,$1.58,$1.37,$1.10,$1.38,Mil-Spec
G3SG1-Keeping-Tabs,$7.60,$6.14,$4.67,$4.02,$1.64,$1.58,$2.54,$2.53,$1.10,$0.86,$3.88,$4.03,$2.23,$2.21,$1.19,$1.18,$1.20,$0.86,$1.08,$1.06,Mil-Spec
MP7-Guerrilla,$8.87,$6.76,$4.25,$2.87,$2.07,$2.04,$1.16,$1.00,$0.94,$0.73,$3.77,$2.92,$2.27,$2.28,$1.33,$1.28,$1.06,$1.20,$1.10,$1.09,Mil-Spec
AUG-Plague,$6.15,$5.95,$3.98,$4.34,$1.50,$1.49,$1.68,$1.68,$1.03,$1.04,$2.68,$2.69,$2.34,$1.78,$1.46,$1.26,$1.30,$1.29,$1.23,$1.25,Mil-Spec
