Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-The-Emperor,$907.89,$590.00,$175.27,$166.75,$64.68,$60.10,$60.68,$55.29,$55.77,$52.51,$320.00,$305.04,$67.67,$65.64,$22.00,$20.70,$18.67,$18.56,$15.24,$15.07,Covert
Five-SeveN-Angry-Mob,$85.05,$80.84,$30.45,$28.75,$14.81,$14.12,$17.41,$16.89,$14.38,$13.83,$80.00,$78.73,$12.01,$11.71,$4.68,$4.57,$6.67,$6.01,$4.03,$3.79,Covert
AUG-Momentum,$96.66,$87.76,$17.25,$17.24,$5.22,$5.43,$4.34,$4.11,$4.37,$4.31,$23.36,$22.48,$8.62,$7.96,$2.31,$2.30,$2.02,$1.94,$1.78,$1.75,Classified
XM1014-Incinegator,$19.25,$2.14,$2.36,$1.87,$70.12,$54.23,$5.88,$5.50,$6.49,$5.48,$4.96,$5.06,$19.25,$20.23,$2.14,$2.09,$2.36,$2.21,$1.87,$1.85,Classified
R8-Revolver-Skull-Crusher,$8.19,$7.49,$5.68,$3.34,$3.99,$2.16,$1.68,$1.62,$5.68,$5.00,$3.34,$3.38,$3.99,$3.87,$2.16,$2.04,$1.68,$1.63,$1.62,$1.61,Classified
AWP-Atheris,$62.10,$60.17,$26.61,$24.92,$13.75,$13.43,$9.96,$9.32,$9.10,$9.06,$26.28,$25.22,$9.60,$9.50,$5.49,$5.64,$4.61,$4.46,$3.98,$3.92,Restricted
Desert-Eagle-Light-Rail,$27.71,$27.21,$10.00,$9.35,$3.87,$3.86,$4.17,$4.16,$3.52,$3.42,$9.00,$8.78,$2.21,$2.20,$0.92,$0.89,$0.88,$0.96,$0.73,$0.71,Restricted
Tec-9-Bamboozle,$9.40,$9.05,$3.36,$2.90,$1.50,$1.35,$2.30,$2.14,$1.43,$1.18,$3.37,$3.20,$1.38,$1.26,$0.57,$0.56,$0.60,$0.62,$0.50,$0.45,Restricted
UMP-45-Moonrise,$2.35,$0.97,$0.52,$0.92,$4.51,$4.44,$2.24,$2.16,$0.77,$0.81,$1.50,$1.44,$2.35,$2.24,$0.97,$0.97,$0.52,$0.49,$0.92,$0.81,Restricted
MP5-SD-Gauss,$4.90,$5.60,$1.81,$1.60,$0.80,$0.71,$0.73,$0.72,$0.61,$0.60,$2.48,$2.50,$0.78,$0.72,$0.32,$0.32,$0.31,$0.30,$0.32,$0.32,Restricted
AK-47-Uncharted,$9.60,$9.46,$4.17,$4.17,$3.35,$3.29,$4.29,$4.30,$3.22,$3.22,$1.85,$1.80,$0.82,$0.80,$0.42,$0.46,$1.01,$1.01,$0.49,$0.45,Mil-Spec
MAC-10-Whitefish,$3.65,$3.13,$1.30,$1.26,$0.55,$0.57,$0.38,$0.39,$0.34,$0.31,$1.26,$1.25,$0.48,$0.45,$0.34,$0.35,$0.28,$0.29,$0.25,$0.28,Mil-Spec
Galil-AR-Akoben,$2.41,$2.35,$1.23,$1.29,$0.57,$0.55,$0.74,$0.60,$0.37,$0.43,$0.87,$0.87,$0.49,$0.49,$0.32,$0.33,$0.38,$0.39,$0.27,$0.30,Mil-Spec
P250-Verdigris,$2.34,$2.24,$1.11,$1.10,$0.55,$0.53,$0.58,$0.57,$0.74,$0.77,$0.92,$0.83,$0.42,$0.43,$0.32,$0.34,$0.29,$0.32,$0.32,$0.31,Mil-Spec
FAMAS-Crypsis,$2.00,$2.01,$1.24,$1.21,$0.62,$0.61,$0.64,$0.63,$0.55,$0.51,$0.81,$0.81,$0.49,$0.43,$0.34,$0.34,$0.29,$0.31,$0.27,$0.26,Mil-Spec
P90-Off-World,$2.33,$2.23,$1.17,$1.08,$0.53,$0.56,$0.53,$0.53,$0.46,$0.33,$0.83,$0.81,$0.42,$0.44,$0.31,$0.34,$0.30,$0.26,$0.24,$0.23,Mil-Spec
MP7-Mischief,$0.76,$0.49,$0.25,$0.21,$2.23,$2.01,$0.59,$0.50,$0.49,$0.48,$0.40,$0.40,$0.76,$0.76,$0.49,$0.33,$0.25,$0.24,$0.21,$0.22,Mil-Spec
