Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
USP-S-Printstream,$454.03,$439.75,$188.11,$180.00,$100.00,$97.00,$99.30,$85.15,$81.35,$80.98,$169.23,$175.01,$72.81,$71.74,$42.98,$42.49,$41.99,$40.41,$33.77,$33.77,Covert
AWP-Chromatic-Aberration,$57.35,$48.79,$32.70,$32.00,$23.02,$22.89,$29.23,$28.01,$21.73,$21.39,$27.50,$27.65,$12.50,$12.54,$8.92,$8.32,$10.75,$10.52,$6.72,$6.38,Covert
AK-47-Ice-Coaled,$53.29,$50.95,$25.87,$25.93,$13.29,$12.93,$16.96,$16.26,$10.90,$11.00,$18.48,$18.59,$9.67,$9.29,$4.83,$4.92,$6.29,$6.17,$3.96,$3.64,Classified
Sawed-Off-Kiss%E2%99%A5Love,$36.20,$39.05,$11.77,$11.76,$6.10,$5.76,$5.14,$4.99,$4.83,$4.50,$15.81,$15.46,$5.72,$5.63,$2.70,$2.67,$2.32,$2.28,$2.37,$2.24,Classified
P250-Visions,$30.38,$31.00,$12.89,$12.87,$5.86,$5.79,$5.47,$5.85,$4.84,$4.39,$12.71,$12.65,$5.70,$5.71,$2.59,$2.68,$2.91,$2.59,$2.37,$2.29,Classified
Dual-Berettas-Flora-Carnivora,$6.79,$6.78,$2.14,$2.18,$0.97,$0.93,$0.70,$0.70,$0.73,$0.68,$2.82,$2.75,$0.88,$0.87,$0.40,$0.39,$0.32,$0.32,$0.32,$0.30,Restricted
R8-Revolver-Crazy-8,$5.80,$6.00,$2.00,$1.99,$1.04,$1.02,$0.72,$0.69,$0.70,$0.68,$1.97,$2.08,$0.80,$0.80,$0.38,$0.37,$0.31,$0.30,$0.30,$0.30,Restricted
SG-553-Dragon-Tech,$4.48,$4.44,$2.10,$2.09,$0.87,$0.87,$0.81,$0.87,$0.71,$0.69,$1.76,$1.75,$0.84,$0.84,$0.37,$0.36,$0.39,$0.38,$0.31,$0.30,Restricted
P90-Vent-Rush,$4.19,$4.17,$2.09,$2.00,$0.88,$0.86,$0.82,$0.72,$0.70,$0.73,$1.79,$1.78,$0.83,$0.83,$0.36,$0.35,$0.35,$0.34,$0.29,$0.29,Restricted
M249-Downtown,$3.92,$4.01,$2.02,$2.01,$0.87,$0.86,$0.80,$0.80,$0.82,$0.62,$1.76,$1.75,$0.84,$0.82,$0.37,$0.37,$0.37,$0.36,$0.30,$0.31,Restricted
Glock-18-Winterized,$2.19,$2.07,$0.36,$0.36,$0.21,$0.21,$0.18,$0.18,$0.19,$0.18,$0.41,$0.37,$0.12,$0.11,$0.08,$0.07,$0.07,$0.06,$0.08,$0.05,Mil-Spec
M4A4-Poly-Mag,$2.19,$2.19,$0.39,$0.38,$0.19,$0.18,$0.13,$0.12,$0.13,$0.11,$0.38,$0.36,$0.12,$0.10,$0.08,$0.07,$0.07,$0.04,$0.07,$0.04,Mil-Spec
FAMAS-Meow-36,$1.42,$1.38,$0.32,$0.31,$0.15,$0.14,$0.13,$0.11,$0.12,$0.11,$0.37,$0.36,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,$0.07,$0.04,Mil-Spec
Galil-AR-Destroyer,$0.86,$0.86,$0.37,$0.36,$0.16,$0.15,$0.26,$0.25,$0.15,$0.15,$0.32,$0.32,$0.13,$0.11,$0.08,$0.06,$0.08,$0.05,$0.07,$0.04,Mil-Spec
MAC-10-Monkeyflage,$1.12,$1.12,$0.27,$0.25,$0.14,$0.13,$0.12,$0.10,$0.12,$0.11,$0.30,$0.29,$0.12,$0.10,$0.07,$0.05,$0.07,$0.04,$0.06,$0.04,Mil-Spec
Negev-Drop-Me,$1.05,$1.01,$0.28,$0.27,$0.13,$0.11,$0.12,$0.11,$0.12,$0.11,$0.31,$0.30,$0.12,$0.10,$0.07,$0.05,$0.06,$0.04,$0.07,$0.04,Mil-Spec
UMP-45-Roadblock,$0.99,$0.99,$0.27,$0.26,$0.13,$0.12,$0.12,$0.11,$0.11,$0.11,$0.34,$0.33,$0.12,$0.10,$0.07,$0.07,$0.06,$0.04,$0.06,$0.04,Mil-Spec
