Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
USP-S-Kill-Confirmed,$1,649.99,$1,000.01,$490.96,$437.49,$275.23,$285.00,$185.00,$167.36,$169.42,$138.80,$312.80,$300.84,$131.99,$119.19,$73.90,$75.48,$65.03,$63.95,$62.56,$62.03,Covert
M4A1-S-Golden-Coil,$571.91,$316.99,$376.23,$320.00,$197.28,$172.12,$144.84,$144.84,$134.37,$123.01,$349.28,$325.00,$136.39,$136.72,$79.81,$78.69,$60.42,$59.94,$56.05,$54.53,Covert
AK-47-Frontside-Misty,$249.40,$220.82,$87.80,$86.32,$46.93,$47.99,$47.30,$47.34,$44.09,$43.16,$171.76,$168.02,$40.82,$40.60,$19.74,$19.81,$18.80,$18.27,$16.46,$16.38,Classified
SSG-08-Big-Iron,$136.52,$98.01,$62.90,$46.16,$39.57,$37.00,$39.84,$35.85,$37.41,$37.27,$34.92,$33.21,$19.00,$18.39,$10.42,$10.24,$10.87,$10.37,$10.36,$9.82,Classified
G3SG1-Flux,$92.08,$92.83,$50.75,$47.07,$31.17,$31.01,$20.87,$20.30,$21.89,$20.17,$35.93,$35.80,$17.53,$17.74,$11.22,$10.30,$10.25,$10.02,$8.70,$8.25,Classified
Galil-AR-Stone-Cold,$42.98,$41.62,$13.76,$12.80,$5.60,$5.61,$4.68,$4.14,$3.86,$3.77,$19.60,$16.81,$5.00,$5.04,$2.26,$2.41,$2.23,$2.24,$1.65,$1.57,Restricted
P250-Wingshot,$22.15,$22.40,$9.20,$7.84,$5.23,$4.79,$4.55,$3.79,$4.66,$4.39,$8.46,$8.04,$3.93,$3.73,$2.02,$2.00,$1.79,$1.79,$1.53,$1.49,Restricted
M249-Nebula-Crusader,$18.21,$18.06,$7.71,$6.75,$4.79,$4.12,$4.21,$3.24,$3.41,$3.00,$7.25,$7.12,$3.88,$3.62,$2.01,$1.88,$1.51,$1.56,$1.57,$1.06,Restricted
MP7-Special-Delivery,$13.20,$13.24,$7.13,$6.86,$4.85,$4.20,$4.69,$4.39,$4.68,$4.34,$6.98,$6.86,$4.02,$3.50,$1.92,$1.72,$2.84,$1.91,$1.58,$1.37,Restricted
Dual-Berettas-Dualing-Dragons,$11.89,$11.95,$1.80,$1.81,$1.00,$0.99,$0.81,$0.71,$0.77,$0.86,$2.66,$2.60,$0.76,$0.74,$0.32,$0.33,$0.21,$0.22,$0.21,$0.22,Mil-Spec
Glock-18-Wraiths,$9.27,$9.24,$2.30,$2.37,$0.88,$0.90,$2.45,$2.48,$0.69,$0.78,$2.20,$2.16,$0.77,$0.73,$0.31,$0.31,$0.55,$0.56,$0.26,$0.24,Mil-Spec
XM1014-Scumbria,$4.31,$4.29,$2.55,$2.09,$0.58,$0.57,$0.47,$0.42,$0.46,$0.45,$1.88,$1.88,$1.18,$1.70,$0.23,$0.24,$0.20,$0.19,$0.20,$0.15,Mil-Spec
FAMAS-Survivor-Z,$2.65,$2.36,$1.66,$1.67,$0.86,$0.86,$1.42,$1.31,$0.77,$0.75,$1.01,$1.00,$0.74,$0.68,$0.34,$0.33,$0.51,$0.46,$0.30,$0.27,Mil-Spec
SCAR-20-Green-Marine,$2.48,$2.46,$2.00,$1.87,$0.46,$0.41,$0.52,$0.53,$0.54,$0.24,$1.18,$1.12,$0.66,$0.65,$0.23,$0.21,$0.29,$0.26,$0.23,$0.15,Mil-Spec
MAG-7-Cobalt-Core,$2.44,$2.38,$1.38,$1.35,$0.55,$0.54,$0.50,$0.50,$0.58,$0.58,$0.94,$1.05,$0.55,$0.56,$0.23,$0.24,$0.23,$0.21,$0.23,$0.23,Mil-Spec
MAC-10-Rangeen,$2.14,$2.15,$1.07,$1.06,$0.54,$0.58,$0.76,$0.48,$0.69,$0.53,$1.03,$0.94,$0.60,$0.59,$0.25,$0.25,$0.29,$0.28,$0.23,$0.23,Mil-Spec
