Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AWP-Containment-Breach,$1126.37,$814.85,$438.91,$350.00,$262.90,$169.42,$189.33,$157.11,$174.28,$151.91,$700.30,$599.64,$247.90,$241.50,$99.91,$103.00,$71.62,$68.32,$71.93,$68.72,Covert
MAC-10-Stalker,$1349.00,$486.95,$205.43,$135.39,$89.25,$76.14,$71.93,$63.06,$65.86,$62.55,$102.84,$103.90,$39.26,$39.19,$19.85,$18.40,$14.98,$14.88,$14.88,$14.55,Covert
SSG-08-Bloodshot,$140.91,$16.80,$16.52,$15.01,$402.66,$433.14,$40.61,$38.19,$64.43,$35.03,$43.01,$39.03,$140.91,$102.31,$16.80,$16.13,$16.52,$17.05,$15.01,$14.85,Classified
Tec-9-Decimator,$308.02,$297.13,$113.35,$112.69,$52.59,$51.18,$48.91,$37.53,$44.41,$39.44,$94.07,$87.69,$44.24,$44.89,$21.53,$19.33,$20.01,$19.99,$19.10,$18.02,Classified
SG-553-Colony-IV,$161.06,$167.19,$61.76,$61.61,$27.77,$23.54,$58.67,$21.27,$22.00,$21.03,$61.29,$49.55,$24.00,$21.89,$11.89,$11.53,$7.62,$7.51,$7.51,$7.14,Classified
AK-47-Rat-Rod,$79.64,$79.64,$24.15,$25.23,$14.84,$14.81,$14.30,$14.26,$14.76,$13.80,$81.85,$77.54,$14.23,$15.20,$4.26,$4.30,$3.62,$3.59,$3.60,$3.62,Restricted
AUG-Arctic-Wolf,$38.25,$35.00,$14.09,$14.00,$6.37,$5.37,$10.14,$11.28,$4.91,$4.31,$10.16,$9.90,$4.45,$4.45,$2.03,$2.11,$3.99,$3.74,$1.55,$1.55,Restricted
P2000-Obsidian,$38.41,$39.99,$11.68,$11.79,$6.30,$6.30,$5.71,$5.49,$5.41,$5.24,$8.97,$10.86,$5.47,$5.15,$2.00,$2.00,$2.03,$1.87,$1.87,$1.78,Restricted
PP-Bizon-Embargo,$34.50,$30.33,$11.27,$10.15,$5.25,$5.63,$3.77,$2.02,$3.58,$3.69,$10.88,$8.08,$5.15,$4.59,$2.16,$2.10,$1.92,$1.70,$1.67,$1.63,Restricted
MP7-Neon-Ply,$26.14,$27.29,$12.11,$11.89,$5.00,$2.87,$3.60,$3.47,$3.40,$3.49,$13.43,$8.93,$4.09,$4.09,$1.93,$2.01,$1.52,$1.24,$1.42,$1.37,Restricted
Dual-Berettas-Balance,$20.14,$20.90,$4.03,$3.84,$2.03,$1.85,$1.49,$1.55,$1.39,$1.38,$6.00,$5.92,$2.27,$2.13,$1.61,$1.62,$1.22,$1.45,$1.40,$0.71,Mil-Spec
M249-Warbird,$10.00,$8.29,$3.48,$2.68,$1.23,$1.12,$12.12,$2.09,$1.79,$0.89,$6.03,$2.52,$1.62,$1.61,$1.41,$1.80,$1.86,$1.07,$1.45,$1.32,Mil-Spec
R8-Revolver-Memento,$10.61,$11.06,$3.19,$3.43,$1.32,$1.43,$2.49,$2.37,$1.38,$1.08,$2.71,$2.92,$1.86,$1.60,$1.38,$1.46,$1.45,$1.45,$1.24,$1.27,Mil-Spec
Nova-Plume,$6.01,$6.64,$2.80,$2.54,$1.12,$1.05,$2.80,$2.77,$1.17,$0.79,$2.78,$2.57,$2.16,$2.23,$1.50,$1.55,$1.45,$1.46,$1.45,$1.15,Mil-Spec
MP5-SD-Acid-Wash,$5.37,$5.72,$3.25,$2.80,$1.20,$1.20,$2.56,$2.22,$1.15,$0.91,$2.58,$2.55,$1.74,$1.92,$1.57,$1.57,$1.42,$1.42,$1.27,$1.26,Mil-Spec
SCAR-20-Torn,$2.16,$1.75,$1.56,$1.38,$4.34,$2.25,$2.64,$1.76,$1.29,$1.24,$1.70,$1.90,$2.16,$2.16,$1.75,$1.86,$1.56,$1.51,$1.38,$1.38,Mil-Spec
G3SG1-Black-Sand,$4.68,$3.79,$3.00,$2.92,$1.18,$1.13,$1.92,$1.17,$1.26,$1.25,$2.41,$2.53,$1.96,$1.71,$1.68,$1.53,$1.44,$1.00,$1.09,$1.14,Mil-Spec
