Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Bloodsport,$442.36,$280.00,$237.88,$237.72,$752.48,$698.98,$530.00,$546.25,$414.81,$408.97,$490.75,$333.32,$442.36,$408.81,$280.00,$288.40,$237.88,$229.99,$237.72,$236.47,Covert
USP-S-Neo-Noir,$225.66,$191.28,$95.00,$80.00,$58.15,$55.05,$65.84,$61.81,$55.58,$55.63,$73.76,$75.60,$29.78,$28.20,$19.92,$20.01,$24.74,$23.74,$19.32,$18.99,Covert
M4A1-S-Decimator,$152.00,$138.00,$74.00,$57.61,$44.82,$42.09,$57.34,$44.41,$38.78,$38.67,$93.00,$94.15,$29.15,$29.68,$19.61,$18.44,$21.01,$20.31,$16.88,$17.02,Classified
AWP-Fever-Dream,$67.24,$66.94,$37.41,$33.74,$33.50,$32.20,$36.11,$31.71,$31.37,$30.28,$58.92,$57.52,$22.08,$22.96,$17.79,$17.81,$17.20,$16.18,$17.38,$17.06,Classified
CZ75-Auto-Xiangliu,$57.44,$42.61,$43.98,$29.83,$32.20,$27.62,$32.29,$24.62,$32.74,$26.80,$29.39,$25.00,$23.34,$21.70,$18.45,$17.71,$19.33,$15.01,$18.66,$18.63,Classified
Galil-AR-Crimson-Tsunami,$16.51,$16.52,$8.54,$8.06,$5.00,$4.83,$4.79,$4.61,$5.36,$4.60,$7.37,$6.96,$4.06,$3.87,$2.19,$2.13,$1.99,$1.93,$1.87,$1.85,Restricted
M249-Emerald-Poison-Dart,$6.98,$3.60,$2.12,$1.70,$8.41,$7.70,$5.43,$4.69,$4.94,$4.93,$4.17,$4.10,$6.98,$6.79,$3.60,$3.39,$2.12,$2.12,$1.70,$1.64,Restricted
UMP-45-Scaffold,$10.74,$11.08,$5.13,$5.11,$4.30,$3.31,$4.04,$3.21,$3.48,$3.37,$6.97,$6.63,$3.34,$3.48,$1.92,$1.93,$1.74,$1.67,$1.73,$1.01,Restricted
XM1014-Seasons,$8.42,$8.43,$5.54,$4.92,$3.60,$3.87,$4.63,$4.31,$4.08,$4.25,$6.98,$7.00,$3.23,$3.19,$2.18,$2.11,$2.11,$1.87,$2.02,$1.82,Restricted
MAC-10-Last-Dive,$9.59,$10.06,$5.09,$4.55,$3.91,$3.50,$3.52,$3.11,$3.59,$3.69,$6.87,$6.52,$3.48,$3.26,$2.15,$2.25,$2.35,$2.50,$2.19,$2.20,Restricted
Desert-Eagle-Oxide-Blaze,$3.25,$3.19,$1.93,$2.09,$1.17,$1.15,$1.33,$1.34,$1.34,$1.34,$0.87,$0.87,$0.58,$0.59,$0.63,$0.57,$0.48,$0.52,$0.38,$0.39,Mil-Spec
Five-SeveN-Capillary,$2.23,$2.23,$1.11,$1.17,$0.59,$0.58,$0.81,$0.80,$0.52,$0.50,$0.80,$0.77,$0.62,$0.56,$0.57,$0.61,$0.43,$0.43,$0.37,$0.36,Mil-Spec
Sawed-Off-Zander,$2.77,$2.45,$0.84,$0.57,$0.49,$0.43,$0.40,$0.42,$0.43,$0.36,$0.89,$0.77,$0.50,$0.40,$0.55,$0.56,$0.30,$0.30,$0.34,$0.36,Mil-Spec
P250-Ripple,$1.45,$1.37,$0.92,$0.80,$0.52,$0.52,$0.49,$0.49,$0.64,$0.61,$0.69,$0.68,$0.49,$0.49,$0.51,$0.52,$1.09,$0.37,$0.46,$0.42,Mil-Spec
MP7-Akoben,$1.86,$1.70,$0.92,$0.92,$0.52,$0.49,$0.59,$0.59,$0.51,$0.48,$0.73,$0.74,$0.53,$0.53,$0.52,$0.52,$0.48,$0.36,$0.36,$0.34,Mil-Spec
SCAR-20-Blueprint,$1.52,$1.29,$0.88,$0.89,$0.49,$0.46,$0.49,$0.56,$0.46,$0.44,$0.77,$0.76,$0.54,$0.51,$0.50,$0.58,$0.51,$0.51,$0.41,$0.30,Mil-Spec
PP-Bizon-Jungle-Slipstream,$1.18,$1.15,$0.81,$0.80,$0.49,$0.48,$0.47,$0.49,$0.46,$0.43,$0.64,$0.66,$0.57,$0.62,$0.59,$0.52,$0.36,$0.29,$0.41,$0.39,Mil-Spec
