Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-Asiimov,$1568.92,$1021.49,$875.80,$473.06,$399.60,$280.43,$147.75,$103.59,$875.80,$603.00,$473.06,$439.05,$399.60,$282.89,$280.43,$274.32,$147.75,$138.33,$103.59,$101.93,Covert
Sawed-Off-The-Kraken,$99.60,$16.06,$6.04,$5.99,$14.81,$59.00,$60.13,$23.64,$29.91,$23.00,$19.96,$99.60,$16.06,$15.00,$6.04,$5.94,$5.99,$5.93,$14.81,$13.76,Covert
AWP-Redline,$248.96,$235.41,$222.00,$117.61,$168.86,$133.91,$55.27,$87.80,$222.00,$264.50,$117.61,$122.00,$168.86,$155.21,$133.91,$118.87,$55.27,$53.52,$87.80,$81.21,Classified
M4A1-S-Guardian,$165.33,$163.92,$102.72,$93.89,$89.75,$84.38,$110.79,$112.27,$117.00,$78.89,$62.99,$63.48,$32.73,$31.98,$25.80,$25.71,$24.52,$24.26,$29.56,$25.08,Classified
P250-Mehndi,$116.45,$76.32,$58.50,$56.49,$46.00,$45.95,$33.14,$25.95,$30.03,$29.33,$34.45,$34.18,$19.97,$20.01,$17.06,$17.08,$15.75,$14.28,$15.64,$15.26,Classified
Dual-Berettas-Marina,$303.79,$63.90,$14.95,$13.88,$11.63,$11.62,$11.96,$10.32,$13.53,$9.88,$24.15,$24.31,$8.11,$6.79,$5.88,$5.73,$5.67,$6.25,$5.87,$5.84,Restricted
MP9-Rose-Iron,$9.82,$9.16,$27.52,$18.05,$15.59,$9.39,$7.70,$7.18,$27.52,$25.15,$18.05,$15.04,$15.59,$13.95,$9.39,$9.39,$7.70,$7.67,$7.18,$7.09,Restricted
FAMAS-Pulse,$14.88,$8.13,$7.01,$9.48,$20.82,$26.09,$14.92,$15.35,$14.95,$14.95,$17.50,$15.13,$14.88,$14.50,$8.13,$7.64,$7.01,$6.47,$9.48,$8.75,Restricted
Nova-Rising-Skull,$18.29,$16.28,$16.47,$23.23,$12.95,$12.67,$11.63,$16.12,$14.37,$10.00,$10.01,$8.47,$8.07,$6.30,$5.90,$5.31,$7.85,$5.83,$6.70,$6.46,Restricted
Five-SeveN-Kami,$6.42,$4.82,$6.72,$3.97,$2.72,$3.69,$2.42,$1.90,$6.72,$5.75,$3.97,$4.09,$2.72,$2.30,$3.69,$3.64,$2.42,$2.57,$1.90,$1.72,Mil-Spec
Galil-AR-Sandstorm,$4.46,$1.19,$1.91,$1.22,$6.99,$7.69,$1.95,$1.95,$2.73,$2.48,$1.73,$1.62,$4.46,$4.44,$1.19,$1.13,$1.91,$1.85,$1.22,$1.07,Mil-Spec
PP-Bizon-Cobalt-Halftone,$1.92,$1.11,$0.92,$0.98,$4.48,$4.47,$1.98,$1.93,$1.79,$1.45,$1.62,$1.58,$1.92,$1.91,$1.11,$1.11,$0.92,$0.80,$0.98,$0.65,Mil-Spec
M249-Magma,$3.76,$3.76,$2.00,$1.87,$1.67,$1.66,$2.08,$2.09,$1.49,$1.34,$1.41,$1.35,$1.16,$1.06,$0.86,$0.80,$1.07,$0.94,$0.86,$0.85,Mil-Spec
