Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A4-X-Ray,$267.49,$252.84,$182.87,$108.64,$76.83,$126.20,$44.43,$25.87,$182.87,$174.16,$108.64,$78.40,$76.83,$68.93,$126.20,$126.22,$44.43,$40.63,$25.87,$25.01,Covert
Desert-Eagle-Cobalt-Disruption,$310.28,$284.89,$233.70,$195.00,$217.31,$132.30,$95.00,$96.26,$233.70,$267.98,$195.00,$188.23,$217.31,$168.98,$132.30,$127.97,$95.00,$87.85,$96.26,$87.97,Classified
AWP-Electric-Hive,$96.55,$46.00,$45.91,$57.27,$140.00,$139.04,$104.24,$94.50,$87.11,$86.28,$127.00,$110.35,$96.55,$91.11,$46.00,$43.43,$45.91,$43.64,$57.27,$54.23,Classified
FAMAS-Afterimage,$58.95,$36.22,$33.61,$32.98,$73.87,$53.03,$39.41,$32.46,$29.63,$28.01,$42.91,$28.77,$58.95,$58.80,$36.22,$34.93,$33.61,$29.00,$32.98,$31.28,Classified
AK-47-Blue-Laminate,$28.15,$18.99,$18.41,$25.25,$67.19,$68.59,$50.23,$47.91,$50.88,$44.89,$78.68,$75.06,$28.15,$28.60,$18.99,$19.39,$18.41,$18.75,$25.25,$23.38,Restricted
P90-Blind-Spot,$24.52,$23.36,$23.00,$18.94,$16.18,$13.95,$15.19,$14.18,$16.39,$17.09,$11.24,$10.58,$9.94,$9.68,$9.70,$8.42,$8.64,$8.61,$14.03,$5.35,Restricted
Galil-AR-Blue-Titanium,$8.40,$7.70,$8.33,$7.73,$7.96,$7.84,$9.39,$8.24,$20.20,$16.46,$3.00,$2.57,$2.24,$2.24,$11.66,$8.41,$11.66,$11.51,$8.41,$7.20,Mil-Spec
PP-Bizon-Water-Sigil,$8.40,$7.70,$8.33,$7.73,$7.96,$7.84,$9.39,$8.24,$20.20,$16.46,$3.00,$2.57,$2.24,$2.24,$1.91,$1.84,$3.15,$2.85,$21.30,$11.01,Mil-Spec
Nova-Ghost-Camo,$3.42,$2.36,$2.01,$3.99,$9.20,$7.99,$7.95,$7.60,$8.00,$7.25,$9.00,$6.69,$3.42,$3.41,$2.36,$2.30,$2.01,$2.00,$3.99,$2.99,Mil-Spec
P250-Steel-Disruption,$12.49,$11.94,$9.10,$8.58,$7.77,$3.31,$2.59,$3.00,$9.10,$8.23,$8.58,$7.84,$7.77,$6.25,$3.31,$3.19,$2.59,$2.60,$3.00,$2.70,Mil-Spec
G3SG1-Azure-Zebra,$13.49,$12.59,$9.39,$8.81,$7.65,$2.80,$2.00,$2.45,$9.39,$9.59,$8.81,$7.91,$7.65,$7.01,$2.80,$2.87,$2.00,$2.00,$2.45,$2.44,Mil-Spec
Five-SeveN-Nightshade,$9.93,$9.69,$8.16,$7.44,$7.88,$7.78,$8.17,$7.98,$7.60,$6.69,$2.88,$2.73,$2.69,$2.35,$2.15,$2.13,$2.12,$1.80,$2.71,$2.07,Mil-Spec
