Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
AK-47-Jaguar,$1402.15,$961.30,$399.00,$325.61,$246.73,$244.00,$207.00,$152.34,$182.74,$167.93,$490.75,$450.85,$327.18,$287.77,$124.90,$113.59,$86.38,$81.32,$82.99,$81.05,Covert
M4A4-Bullet-Rain,$452.79,$348.36,$262.84,$121.51,$106.75,$98.78,$91.34,$112.60,$95.08,$575.53,$359.69,$343.02,$77.00,$75.00,$33.83,$33.81,$33.60,$27.33,$108.79,$72.45,Covert
Nova-Bloomstick,$1011.28, $1777.00,$73.62,$80.51,$31.48,$31.37,$27.02,$26.90,$33.00,$21.27,$90.00,$77.01,$24.52,$23.75,$11.44,$10.35,$12.45,$10.07,$11.28,$10.70,Classified
AWP-Corticera,$231.49,$215.89,$192.81,$57.50,$52.00,$99.72,$30.18,$22.20,$192.81,$190.99,$57.50,$56.15,$52.00,$51.02,$99.72,$100.00,$30.18,$27.54,$22.20,$21.70,Classified
AUG-Bengal-Tiger,$259.48,$174.10,$28.45,$28.32,$18.92,$23.52,$18.25,$14.95,$18.08,$18.16,$64.20,$56.20,$32.70,$27.50,$10.51,$9.81,$9.35,$8.25,$8.70,$8.55,Classified
P2000-Corticera,$101.82,$95.82,$83.29,$35.11,$31.48,$52.00,$26.34,$12.74,$83.29,$95.54,$35.11,$34.92,$31.48,$31.65,$52.00,$49.74,$26.34,$29.56,$12.74,$12.07,Classified
Desert-Eagle-Crimson-Web,$470.00,$499.99,$94.26,$88.34,$30.33,$30.03,$34.15,$24.33,$29.63,$26.76,$226.98,$191.05,$45.25,$45.26,$14.50,$14.10,$14.19,$13.81,$14.39,$14.49,Restricted
MP7-Ocean-Foam,$52.19,$45.29,$38.29,$35.28,$30.33,$30.03,$34.15,$24.33,$29.63, $13.25,$21.27,$6.12,$13.25,$16.10,$21.27,$16.19,$6.39,$6.36,$6.12,$4.31,Restricted
Glock-18-Steel-Disruption,$25.82,$23.89,$19.49,$15.56,$15.00,$8.07,$4.85,$5.11,$19.49,$18.60,$15.56,$14.91,$15.00,$12.16,$8.07,$7.49,$4.85,$4.62,$5.11,$4.59,Restricted
PP-Bizon-Blue-Streak,$43.20,$28.72,$9.28,$9.32,$4.50,$4.31,$7.30,$7.67,$5.26,$5.26,$11.20,$10.05,$4.07,$4.06,$2.93,$2.87,$3.11,$2.68,$2.67,$2.43,Restricted
P90-Virus,$31.28,$34.00,$6.12,$5.95,$4.23,$4.03,$5.42,$5.45,$4.20,$3.81,$7.39,$5.80,$3.71,$3.67,$2.82,$2.63,$3.05,$2.43,$2.85,$2.78,Restricted
MAC-10-Ultraviolet,$120.80,$75.08,$10.54,$10.50,$5.49,$5.45,$5.46,$5.51,$5.47,$5.43,$44.00,$40.00,$10.49,$10.49,$2.66,$2.55,$2.26,$2.12,$1.88,$1.66,Mil-Spec
Negev-Bratatat,$35.00,$26.80,$6.22,$5.86,$2.93,$2.92,$2.53,$2.49,$2.62,$2.62,$8.33,$8.83,$2.89,$2.95,$1.85,$1.76,$1.70,$1.57,$1.50,$1.44,Mil-Spec
USP-S-Blood-Tiger,$16.28,$15.89,$13.80,$6.48,$4.75,$6.36,$3.38,$3.03,$13.80,$14.44,$6.48,$5.89,$4.75,$4.56,$6.36,$5.99,$3.38,$3.38,$3.03,$3.00,Mil-Spec
CZ75-Auto-Hexane,$5.17,$2.68,$1.72,$7.01,$16.17,$11.50,$4.68,$5.79,$3.08,$2.80,$4.60,$3.58,$5.17,$18.22,$2.68,$2.60,$1.72,$1.92,$7.01,$3.55,Mil-Spec
SSG-08-Dark-Water,$2.87,$1.44,$3.13,$2.19,$4.94,$5.05,$2.67,$2.41,$5.69,$3.50,$3.18,$1.80,$5.69,$5.19,$3.50,$3.50,$3.18,$3.00,$1.80,$1.80,Mil-Spec
XM1014-Red-Python,$2.87,$1.44,$3.13,$2.19,$4.94,$5.05,$2.67,$2.41,$2.35,$2.35,$3.70,$3.00,$2.87,$8.76,$1.44,$1.43,$3.13,$2.33,$2.19,$1.80,Mil-Spec
