Case Name,Case Price
Fever,0.94
Gallery,1
Kilowatt,0.63
Revolution,0.64
Recoil,0.4
Dreams & Nightmares,2.13
Riptide,17.76
Snakebite,0.93
Broken Fang,13.39
Fracture,0.52
Prisma 2,2.33
CS20,1.8
Shattered Web,9.91
Prisma,2.27
Danger Zone,2.53
Horizon,2.83
Clutch,1.53
Spectrum 2,4.99
Hydra,30.96
Spectrum,7.59
Glove,16.99
Gamma 2,5.65
Gamma,5.52
Chroma 3,5.24
Wildfire,4.72
Revolver,4.94
Shadow,2.3
Falchion,2.54
Anubis,2.04
Chroma 2,5.95
Chroma,7.08
Vanguard,5.18
eSports 2014,18.01
Breakout,13.58
Huntsman,12.55
Phoenix,7.53
Weapon Case 3,11.29
Winter Offensive,9.5
eSports 2013 Winter,18.36
Weapon Case 2,15.45
Bravo,65.96
eSports 2013,104.09
Weapon Case,146.94
